行號,考生考獲最高等級成績的總科數#,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 總數,在甲類、乙類或丙類科目考獲有關成績的考生 - 總百分比,在甲類科目考獲有關成績的考生 - 男生人數,在甲類科目考獲有關成績的考生 - 男生百分比,在甲類科目考獲有關成績的考生 - 女生人數,在甲類科目考獲有關成績的考生 - 女生百分比,在甲類科目考獲有關成績的考生 - 總數,在甲類科目考獲有關成績的考生 - 總百分比
1,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,6,9,0.0,3,0.0,12,0.0,9,0.0,3,0.0,12,0.0
3,5,21,0.1,15,0.1,36,0.1,21,0.1,14,0.1,35,0.1
4,4,57,0.3,38,0.2,95,0.2,56,0.3,39,0.2,95,0.2
5,3,110,0.5,59,0.3,169,0.4,108,0.5,56,0.3,164,0.4
6,2,195,0.9,191,0.9,386,0.9,184,0.9,161,0.8,345,0.8
7,1,985,4.8,1199,5.9,2184,5.3,714,3.5,672,3.3,1386,3.4
8,0,19244,93.3,18806,92.6,38050,93.0,19529,94.7,19366,95.3,38895,95.0
9,總數,20621,100.0,20311,100.0,40932,100.0,20621,100.0,20311,100.0,40932,100.0
