行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20020,19539,39559,21896,21013,42909
2,於中國語文科、英國語文科及數學科取得2級或以上，以及公民與社會發展科取得「達標」,人數,14261,14768,29029,15246,15634,30880
3,於中國語文科、英國語文科及數學科取得2級或以上，以及公民與社會發展科取得「達標」,百分比,71.2%,75.6%,73.4%,69.6%,74.4%,72.0%
4,於五科甲類學科中取得2級或以上,人數,15827,16090,31917,17018,17079,34097
5,於五科甲類學科中取得2級或以上,百分比,79.1%,82.3%,80.7%,77.7%,81.3%,79.5%
6,於五科甲類學科／乙類學科# 中取得2級或以上,人數,15881,16200,32081,17077,17195,34272
7,於五科甲類學科／乙類學科# 中取得2級或以上,百分比,79.3%,82.9%,81.1%,78.0%,81.8%,79.9%
8,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,人數,14488,15130,29618,15524,16028,31552
9,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,百分比,72.4%,77.4%,74.9%,70.9%,76.3%,73.5%
10,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,人數,14499,15175,29674,15535,16073,31608
11,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,百分比,72.4%,77.7%,75.0%,70.9%,76.5%,73.7%
12,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,14168,14604,28772,15155,15465,30620
13,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,70.8%,74.7%,72.7%,69.2%,73.6%,71.4%
14,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,14175,14623,28798,15162,15484,30646
15,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,70.8%,74.8%,72.8%,69.2%,73.7%,71.4%
