行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科# - 男生,日校考生應考最少五科甲類學科／乙類學科# - 女生,日校考生應考最少五科甲類學科／乙類學科# - 總數,全體考生應考最少五科甲類學科／乙類學科# - 男生,全體考生應考最少五科甲類學科／乙類學科# - 女生,全體考生應考最少五科甲類學科／乙類學科# - 總數
1,考生人數,人數,20024,19543,39567,21947,21028,42975
2,總積點 10 – 12,人數,2344,2241,4585,2619,2445,5064
3,總積點 10 – 12,百分比,11.7%,11.5%,11.6%,11.9%,11.6%,11.8%
4,總積點 13 – 15,人數,3084,3550,6634,3369,3780,7149
5,總積點 13 – 15,百分比,15.4%,18.2%,16.8%,15.4%,18.0%,16.6%
6,總積點 16 – 18,人數,3192,3511,6703,3406,3682,7088
7,總積點 16 – 18,百分比,15.9%,18.0%,16.9%,15.5%,17.5%,16.5%
8,總積點 19 – 21,人數,2439,2807,5246,2566,2944,5510
9,總積點 19 – 21,百分比,12.2%,14.4%,13.3%,11.7%,14.0%,12.8%
10,總積點 22 – 24,人數,1601,1637,3238,1680,1723,3403
11,總積點 22 – 24,百分比,8.0%,8.4%,8.2%,7.7%,8.2%,7.9%
12,總積點 25 – 27,人數,989,836,1825,1040,880,1920
13,總積點 25 – 27,百分比,4.9%,4.3%,4.6%,4.7%,4.2%,4.5%
14,總積點 28 – 30,人數,555,442,997,579,464,1043
15,總積點 28 – 30,百分比,2.8%,2.3%,2.5%,2.6%,2.2%,2.4%
16,總積點 31 – 33,人數,305,223,528,318,234,552
17,總積點 31 – 33,百分比,1.5%,1.1%,1.3%,1.4%,1.1%,1.3%
18,總積點 34 – 35,人數,103,58,161,107,61,168
19,總積點 34 – 35,百分比,0.5%,0.3%,0.4%,0.5%,0.3%,0.4%
