行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,220,254,147,25,2,,,,648
2,5**,百分比,2.7%,3.1%,1.8%,0.3%,0.0%,,,,7.8%
3,5*,人數,103,409,702,315,67,10,,,1606
4,5*,百分比,1.2%,4.9%,8.5%,3.8%,0.8%,0.1%,,,19.4%
5,5,人數,11,183,632,825,491,109,12,2,2265
6,5,百分比,0.1%,2.2%,7.6%,10.0%,5.9%,1.3%,0.1%,0.0%,27.3%
7,4,人數,1,15,174,591,1039,667,164,30,2681
8,4,百分比,0.0%,0.2%,2.1%,7.1%,12.5%,8.1%,2.0%,0.4%,32.4%
9,3,人數,,,1,13,112,332,261,95,814
10,3,百分比,,,0.0%,0.2%,1.4%,4.0%,3.2%,1.1%,9.8%
11,2,人數,,,,,5,36,73,139,253
12,2,百分比,,,,,0.1%,0.4%,0.9%,1.7%,3.1%
13,1,人數,,,,,,,,15,15
14,1,百分比,,,,,,,,0.2%,0.2%
15,U,人數,,,,,,,,2,2
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,335,861,1656,1769,1716,1154,510,283,8284
18,總數,百分比,4.0%,10.4%,20.0%,21.4%,20.7%,13.9%,6.2%,3.4%,100.0%
