行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數,,,,,,,
1,考生人數,數字,25732,25276,51008,31123,29226,60349,,,,,,,
2,於核心科目中取得「3322」或更佳成績,數字,8510,12439,20949,8887,12706,21593,,,,,,,
3,於核心科目中取得「3322」或更佳成績,百分比,33.1%,49.2%,41.1%,28.6%,43.5%,35.8%,,,,,,,
4,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",數字,8477,12389,20866,8829,12639,21468,,,,,,,
5,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",百分比,32.9%,49.0%,40.9%,28.4%,43.2%,35.6%,,,,,,,
6,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",數字,8138,11853,19991,8396,12026,20422,,,,,,,
7,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",百分比,31.6%,46.9%,39.2%,27.0%,41.1%,33.8%,,,,,,,
8,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",數字,8218,11894,20112,8543,12109,20652,,,,,,,
9,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,31.9%,47.1%,39.4%,27.4%,41.4%,34.2%,,,,,,,
10,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",數字,7306,10195,17501,7534,10323,17857,,,,,,,
11,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,28.4%,40.3%,34.3%,24.2%,35.3%,29.6%,,,,,,,
12,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",數字,7818,10839,18657,8124,11015,19139,,,,,,,
13,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,30.4%,42.9%,36.6%,26.1%,37.7%,31.7%,,,,,,,
14,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",數字,7093,9611,16704,7309,9724,17033,,,,,,,
15,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,27.6%,38.0%,32.7%,23.5%,33.3%,28.2%,,,,,,,
16,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上成績",數字,7024,9441,16465,7298,9589,16887,,,,,,,
17,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上成績",百分比,27.3%,37.4%,32.3%,23.4%,32.8%,28.0%,,,,,,,
18,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上成績",數字,5299,6503,11802,5452,6569,12021,,,,,,,
19,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上成績",百分比,20.6%,25.7%,23.1%,17.5%,22.5%,19.9%,,,,,,,
20,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",數字,4092,4446,8538,4244,4508,8752,,,,,,,
21,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",百分比,15.9%,17.6%,16.7%,13.6%,15.4%,14.5%,,,,,,,
22,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",數字,2417,2222,4639,2485,2246,4731,,,,,,,
23,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",百分比,9.4%,8.8%,9.1%,8.0%,7.7%,7.8%,,,,,,,
24,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",數字,2880,1733,4613,2946,1748,4694,,,,,,,
25,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,11.2%,6.9%,9.0%,9.5%,6.0%,7.8%,,,,,,,
26,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",數字,2664,1575,4239,2718,1586,4304,,,,,,,
27,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,10.4%,6.2%,8.3%,8.7%,5.4%,7.1%,,,,,,,
28,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",數字,2651,1566,4217,2705,1577,4282,,,,,,,
29,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",百分比,10.3%,6.2%,8.3%,8.7%,5.4%,7.1%,,,,,,,
