行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5201,5051,,156,506,1136,2387,3673,4627,4908,143
2,生物,,男生,百分比,,,39.1,3.1%,10.0%,22.5%,47.3%,72.7%,91.6%,97.2%,2.8%
3,生物,,女生,人數,6662,6492,,100,433,1212,2856,4561,5827,6261,231
4,生物,,女生,百分比,,,35.4,1.5%,6.7%,18.7%,44.0%,70.3%,89.8%,96.4%,3.6%
5,生物,,總數,人數,11863,11543,,256,939,2348,5243,8234,10454,11169,374
6,生物,,總數,百分比,,,37,2.2%,8.1%,20.3%,45.4%,71.3%,90.6%,96.8%,3.2%
7,企業、會計與財務概論,會計,男生,人數,2733,2579,,51,166,377,1103,1717,2347,2509,70
8,企業、會計與財務概論,會計,男生,百分比,,,41.1,2.0%,6.4%,14.6%,42.8%,66.6%,91.0%,97.3%,2.7%
9,企業、會計與財務概論,會計,女生,人數,3490,3366,,32,169,498,1502,2356,3116,3312,54
10,企業、會計與財務概論,會計,女生,百分比,,,28.3,1.0%,5.0%,14.8%,44.6%,70.0%,92.6%,98.4%,1.6%
11,企業、會計與財務概論,會計,總數,人數,6223,5945,,83,335,875,2605,4073,5463,5821,124
12,企業、會計與財務概論,會計,總數,百分比,,,33.9,1.4%,5.6%,14.7%,43.8%,68.5%,91.9%,97.9%,2.1%
13,企業、會計與財務概論,商業管理,男生,人數,1168,1108,,6,33,74,306,629,975,1068,40
14,企業、會計與財務概論,商業管理,男生,百分比,,,73.9,0.5%,3.0%,6.7%,27.6%,56.8%,88.0%,96.4%,3.6%
15,企業、會計與財務概論,商業管理,女生,人數,1286,1252,,12,47,120,447,799,1148,1228,24
16,企業、會計與財務概論,商業管理,女生,百分比,,,73.1,1.0%,3.8%,9.6%,35.7%,63.8%,91.7%,98.1%,1.9%
17,企業、會計與財務概論,商業管理,總數,人數,2454,2360,,18,80,194,753,1428,2123,2296,64
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.5,0.8%,3.4%,8.2%,31.9%,60.5%,90.0%,97.3%,2.7%
19,化學,,男生,人數,6124,5863,,195,693,1693,3153,4484,5164,5621,242
20,化學,,男生,百分比,,,25.6,3.3%,11.8%,28.9%,53.8%,76.5%,88.1%,95.9%,4.1%
21,化學,,女生,人數,4828,4656,,91,414,1149,2362,3512,4089,4457,199
22,化學,,女生,百分比,,,19.4,2.0%,8.9%,24.7%,50.7%,75.4%,87.8%,95.7%,4.3%
23,化學,,總數,人數,10952,10519,,286,1107,2842,5515,7996,9253,10078,441
24,化學,,總數,百分比,,,22.8,2.7%,10.5%,27.0%,52.4%,76.0%,88.0%,95.8%,4.2%
25,中國歷史,,男生,人數,2363,2243,,23,100,228,709,1323,1926,2146,97
26,中國歷史,,男生,百分比,,,-,1.0%,4.5%,10.2%,31.6%,59.0%,85.9%,95.7%,4.3%
27,中國歷史,,女生,人數,3204,3098,,52,179,464,1324,2195,2872,3033,65
28,中國歷史,,女生,百分比,,,-,1.7%,5.8%,15.0%,42.7%,70.9%,92.7%,97.9%,2.1%
29,中國歷史,,總數,人數,5567,5341,,75,279,692,2033,3518,4798,5179,162
30,中國歷史,,總數,百分比,,,-,1.4%,5.2%,13.0%,38.1%,65.9%,89.8%,97.0%,3.0%
31,中國語文,,男生,人數,20429,20122,,84,382,1056,4491,9961,16662,19353,769
32,中國語文,,男生,百分比,,,-,0.4%,1.9%,5.2%,22.3%,49.5%,82.8%,96.2%,3.8%
33,中國語文,,女生,人數,19930,19697,,304,1175,2811,8214,13857,18314,19441,256
34,中國語文,,女生,百分比,,,-,1.5%,6.0%,14.3%,41.7%,70.4%,93.0%,98.7%,1.3%
35,中國語文,,總數,人數,40359,39819,,388,1557,3867,12705,23818,34976,38794,1025
36,中國語文,,總數,百分比,,,-,1.0%,3.9%,9.7%,31.9%,59.8%,87.8%,97.4%,2.6%
37,中國文學,,男生,人數,237,219,,2,8,12,45,117,188,207,12
38,中國文學,,男生,百分比,,,-,0.9%,3.7%,5.5%,20.5%,53.4%,85.8%,94.5%,5.5%
39,中國文學,,女生,人數,948,928,,13,56,144,369,639,837,907,21
40,中國文學,,女生,百分比,,,-,1.4%,6.0%,15.5%,39.8%,68.9%,90.2%,97.7%,2.3%
41,中國文學,,總數,人數,1185,1147,,15,64,156,414,756,1025,1114,33
42,中國文學,,總數,百分比,,,-,1.3%,5.6%,13.6%,36.1%,65.9%,89.4%,97.1%,2.9%
43,設計與應用科技,,男生,人數,284,259,,2,5,7,35,68,169,225,34
