行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,人數,18,18,4,6,7,9,11,7
2,法語,男生,百分比,,,22.2%,33.3%,38.9%,50.0%,61.1%,38.9%
3,法語,女生,人數,21,21,5,10,14,16,19,2
4,法語,女生,百分比,,,23.8%,47.6%,66.7%,76.2%,90.5%,9.5%
5,法語,總數,人數,39,39,9,16,21,25,30,9
6,法語,總數,百分比,,,23.1%,41.0%,53.8%,64.1%,76.9%,23.1%
7,德語,男生,人數,4,4,2,2,4,4,4,0
8,德語,男生,百分比,,,50.0%,50.0%,100.0%,100.0%,100.0%,0.0%
9,德語,女生,人數,4,4,2,4,4,4,4,0
10,德語,女生,百分比,,,50.0%,100.0%,100.0%,100.0%,100.0%,0.0%
11,德語,總數,人數,8,8,4,6,8,8,8,0
12,德語,總數,百分比,,,50.0%,75.0%,100.0%,100.0%,100.0%,0.0%
13,印地語,男生,人數,6,6,1,2,3,5,5,1
14,印地語,男生,百分比,,,16.7%,33.3%,50.0%,83.3%,83.3%,16.7%
15,印地語,女生,人數,7,4,2,2,3,3,3,1
16,印地語,女生,百分比,,,50.0%,50.0%,75.0%,75.0%,75.0%,25.0%
17,印地語,總數,人數,13,10,3,4,6,8,8,2
18,印地語,總數,百分比,,,30.0%,40.0%,60.0%,80.0%,80.0%,20.0%
19,日語,男生,人數,142,131,88,102,115,123,127,4
20,日語,男生,百分比,,,67.2%,77.9%,87.8%,93.9%,96.9%,3.1%
21,日語,女生,人數,262,248,176,202,223,232,239,9
22,日語,女生,百分比,,,71.0%,81.5%,89.9%,93.5%,96.4%,3.6%
23,日語,總數,人數,404,379,264,304,338,355,366,13
24,日語,總數,百分比,,,69.7%,80.2%,89.2%,93.7%,96.6%,3.4%
25,西班牙語,男生,人數,10,10,5,6,7,9,9,1
26,西班牙語,男生,百分比,,,50.0%,60.0%,70.0%,90.0%,90.0%,10.0%
27,西班牙語,女生,人數,8,8,4,5,5,6,7,1
28,西班牙語,女生,百分比,,,50.0%,62.5%,62.5%,75.0%,87.5%,12.5%
29,西班牙語,總數,人數,18,18,9,11,12,15,16,2
30,西班牙語,總數,百分比,,,50.0%,61.1%,66.7%,83.3%,88.9%,11.1%
31,烏爾都語,男生,人數,21,19,11,13,13,15,15,4
32,烏爾都語,男生,百分比,,,57.9%,68.4%,68.4%,78.9%,78.9%,21.1%
33,烏爾都語,女生,人數,20,19,12,14,15,17,19,0
34,烏爾都語,女生,百分比,,,63.2%,73.7%,78.9%,89.5%,100.0%,0.0%
35,烏爾都語,總數,人數,41,38,23,27,28,32,34,4
36,烏爾都語,總數,百分比,,,60.5%,71.1%,73.7%,84.2%,89.5%,10.5%
37,所有丙類學科,男生,人數,201,188,111,131,149,165,171,17
38,所有丙類學科,男生,百分比,,,59.0%,69.7%,79.3%,87.8%,91.0%,9.0%
39,所有丙類學科,女生,人數,322,304,201,237,264,278,291,13
40,所有丙類學科,女生,百分比,,,66.1%,78.0%,86.8%,91.4%,95.7%,4.3%
41,所有丙類學科,總數,人數,523,492,312,368,413,443,462,30
42,所有丙類學科,總數,百分比,,,63.4%,74.8%,83.9%,90.0%,93.9%,6.1%
