行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5721,5416,,169,544,1212,2549,3932,4948,5252,164
2,生物,,男生,百分比,,,39.8,3.1%,10.0%,22.4%,47.1%,72.6%,91.4%,97.0%,3.0%
3,生物,,女生,人數,7191,6881,,106,456,1266,2975,4778,6142,6630,251
4,生物,,女生,百分比,,,36.5,1.5%,6.6%,18.4%,43.2%,69.4%,89.3%,96.4%,3.6%
5,生物,,總數,人數,12912,12297,,275,1000,2478,5524,8710,11090,11882,415
6,生物,,總數,百分比,,,38,2.2%,8.1%,20.2%,44.9%,70.8%,90.2%,96.6%,3.4%
7,企業、會計與財務概論,會計,男生,人數,3012,2778,,60,189,424,1198,1844,2519,2698,80
8,企業、會計與財務概論,會計,男生,百分比,,,41.6,2.2%,6.8%,15.3%,43.1%,66.4%,90.7%,97.1%,2.9%
9,企業、會計與財務概論,會計,女生,人數,3713,3514,,34,181,520,1559,2438,3233,3452,62
10,企業、會計與財務概論,會計,女生,百分比,,,29.3,1.0%,5.2%,14.8%,44.4%,69.4%,92.0%,98.2%,1.8%
11,企業、會計與財務概論,會計,總數,人數,6725,6292,,94,370,944,2757,4282,5752,6150,142
12,企業、會計與財務概論,會計,總數,百分比,,,34.8,1.5%,5.9%,15.0%,43.8%,68.1%,91.4%,97.7%,2.3%
13,企業、會計與財務概論,商業管理,男生,人數,1286,1195,,7,36,78,321,658,1037,1147,48
14,企業、會計與財務概論,商業管理,男生,百分比,,,73.9,0.6%,3.0%,6.5%,26.9%,55.1%,86.8%,96.0%,4.0%
15,企業、會計與財務概論,商業管理,女生,人數,1370,1313,,12,47,121,455,823,1192,1284,29
16,企業、會計與財務概論,商業管理,女生,百分比,,,73.3,0.9%,3.6%,9.2%,34.7%,62.7%,90.8%,97.8%,2.2%
17,企業、會計與財務概論,商業管理,總數,人數,2656,2508,,19,83,199,776,1481,2229,2431,77
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.6,0.8%,3.3%,7.9%,30.9%,59.1%,88.9%,96.9%,3.1%
19,化學,,男生,人數,6789,6326,,219,758,1845,3416,4841,5573,6058,268
20,化學,,男生,百分比,,,26.6,3.5%,12.0%,29.2%,54.0%,76.5%,88.1%,95.8%,4.2%
21,化學,,女生,人數,5193,4909,,92,434,1190,2458,3662,4285,4686,223
22,化學,,女生,百分比,,,20.8,1.9%,8.8%,24.2%,50.1%,74.6%,87.3%,95.5%,4.5%
23,化學,,總數,人數,11982,11235,,311,1192,3035,5874,8503,9858,10744,491
24,化學,,總數,百分比,,,24.1,2.8%,10.6%,27.0%,52.3%,75.7%,87.7%,95.6%,4.4%
25,中國歷史,,男生,人數,2626,2420,,26,109,250,766,1416,2070,2317,103
26,中國歷史,,男生,百分比,,,-,1.1%,4.5%,10.3%,31.7%,58.5%,85.5%,95.7%,4.3%
27,中國歷史,,女生,人數,3445,3275,,53,188,487,1379,2286,2999,3188,87
28,中國歷史,,女生,百分比,,,-,1.6%,5.7%,14.9%,42.1%,69.8%,91.6%,97.3%,2.7%
29,中國歷史,,總數,人數,6071,5695,,79,297,737,2145,3702,5069,5505,190
30,中國歷史,,總數,百分比,,,-,1.4%,5.2%,12.9%,37.7%,65.0%,89.0%,96.7%,3.3%
31,中國語文,,男生,人數,22801,21960,,100,417,1139,4770,10651,18045,21036,924
32,中國語文,,男生,百分比,,,-,0.5%,1.9%,5.2%,21.7%,48.5%,82.2%,95.8%,4.2%
33,中國語文,,女生,人數,21683,21054,,335,1255,2980,8628,14576,19417,20723,331
34,中國語文,,女生,百分比,,,-,1.6%,6.0%,14.2%,41.0%,69.2%,92.2%,98.4%,1.6%
35,中國語文,,總數,人數,44484,43014,,435,1672,4119,13398,25227,37462,41759,1255
36,中國語文,,總數,百分比,,,-,1.0%,3.9%,9.6%,31.1%,58.6%,87.1%,97.1%,2.9%
37,中國文學,,男生,人數,280,246,,2,9,14,52,127,206,231,15
38,中國文學,,男生,百分比,,,-,0.8%,3.7%,5.7%,21.1%,51.6%,83.7%,93.9%,6.1%
39,中國文學,,女生,人數,1031,984,,14,63,156,392,678,886,962,22
40,中國文學,,女生,百分比,,,-,1.4%,6.4%,15.9%,39.8%,68.9%,90.0%,97.8%,2.2%
41,中國文學,,總數,人數,1311,1230,,16,72,170,444,805,1092,1193,37
42,中國文學,,總數,百分比,,,-,1.3%,5.9%,13.8%,36.1%,65.4%,88.8%,97.0%,3.0%
43,設計與應用科技,,男生,人數,295,267,,2,5,7,36,69,172,231,36
44,設計與應用科技,,男生,百分比,,,95.5,0.7%,1.9%,2.6%,13.5%,25.8%,64.4%,86.5%,13.5%
45,設計與應用科技,,女生,人數,156,138,,0,3,7,26,43,97,125,13
46,設計與應用科技,,女生,百分比,,,95.7,0.0%,2.2%,5.1%,18.8%,31.2%,70.3%,90.6%,9.4%
47,設計與應用科技,,總數,人數,451,405,,2,8,14,62,112,269,356,49
48,設計與應用科技,,總數,百分比,,,95.6,0.5%,2.0%,3.5%,15.3%,27.7%,66.4%,87.9%,12.1%
49,經濟,,男生,人數,5749,5375,,151,451,1000,2420,3513,4532,5027,348
50,經濟,,男生,百分比,,,45.7,2.8%,8.4%,18.6%,45.0%,65.4%,84.3%,93.5%,6.5%
51,經濟,,女生,人數,6078,5789,,73,340,913,2636,3899,5015,5548,241
52,經濟,,女生,百分比,,,37,1.3%,5.9%,15.8%,45.5%,67.4%,86.6%,95.8%,4.2%
53,經濟,,總數,人數,11827,11164,,224,791,1913,5056,7412,9547,10575,589
54,經濟,,總數,百分比,,,41.2,2.0%,7.1%,17.1%,45.3%,66.4%,85.5%,94.7%,5.3%
55,英國語文,,男生,人數,23736,22890,,210,886,2170,5611,11215,17173,20535,2355
56,英國語文,,男生,百分比,,,-,0.9%,3.9%,9.5%,24.5%,49.0%,75.0%,89.7%,10.3%
57,英國語文,,女生,人數,22849,22172,,249,961,2365,6223,12210,18193,20924,1248
58,英國語文,,女生,百分比,,,-,1.1%,4.3%,10.7%,28.1%,55.1%,82.1%,94.4%,5.6%
