行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,38,35,6,31,4
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,17.1%,88.6%,11.4%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,38,36,13,35,1
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,36.1%,97.2%,2.8%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,76,71,19,66,5
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,26.8%,93.0%,7.0%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,8,8,2,8,0
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,25.0%,100.0%,0.0%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,10,8,2,8,0
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,25.0%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,18,16,4,16,0
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,25.0%,100.0%,0.0%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,12,7,1,6,1
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,14.3%,85.7%,14.3%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,11,11,3,10,1
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,27.3%,90.9%,9.1%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,23,18,4,16,2
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,22.2%,88.9%,11.1%
19,應用學習中文 (非華語學生適用),,男生,人數,58,50,9,45,5
20,應用學習中文 (非華語學生適用),,男生,百分比,,,18.0%,90.0%,10.0%
21,應用學習中文 (非華語學生適用),,女生,人數,59,55,18,53,2
22,應用學習中文 (非華語學生適用),,女生,百分比,,,32.7%,96.4%,3.6%
23,應用學習中文 (非華語學生適用),,總數,人數,117,105,27,98,7
24,應用學習中文 (非華語學生適用),,總數,百分比,,,25.7%,93.3%,6.7%
