行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
52,經濟,,女生,百分比,,,36.4,1.6%,5.8%,16.6%,46.0%,69.0%,87.1%,95.8%,4.2%
53,經濟,,總數,人數,14434,13883,,248,910,2369,6381,9492,11973,13221,662
54,經濟,,總數,百分比,,,41.4,1.8%,6.6%,17.1%,46.0%,68.4%,86.2%,95.2%,4.8%
55,英國語文,,男生,人數,28443,27325,,178,720,1854,5953,12965,20349,24354,2971
56,英國語文,,男生,百分比,,,-,0.7%,2.6%,6.8%,21.8%,47.4%,74.5%,89.1%,10.9%
57,英國語文,,女生,人數,27835,27155,,312,1171,2854,8083,15554,22534,25670,1485
58,英國語文,,女生,百分比,,,-,1.1%,4.3%,10.5%,29.8%,57.3%,83.0%,94.5%,5.5%
59,英國語文,,總數,人數,56278,54480,,490,1891,4708,14036,28519,42883,50024,4456
60,英國語文,,總數,百分比,,,-,0.9%,3.5%,8.6%,25.8%,52.3%,78.7%,91.8%,8.2%
61,倫理與宗教,,男生,人數,383,353,,2,9,19,67,194,310,340,13
62,倫理與宗教,,男生,百分比,,,97.5,0.6%,2.5%,5.4%,19.0%,55.0%,87.8%,96.3%,3.7%
63,倫理與宗教,,女生,人數,447,427,,5,20,53,154,307,391,417,10
64,倫理與宗教,,女生,百分比,,,90.6,1.2%,4.7%,12.4%,36.1%,71.9%,91.6%,97.7%,2.3%
65,倫理與宗教,,總數,人數,830,780,,7,29,72,221,501,701,757,23
66,倫理與宗教,,總數,百分比,,,93.7,0.9%,3.7%,9.2%,28.3%,64.2%,89.9%,97.1%,2.9%
67,地理,,男生,人數,4215,4030,,41,166,415,1362,2458,3451,3874,156
68,地理,,男生,百分比,,,63.9,1.0%,4.1%,10.3%,33.8%,61.0%,85.6%,96.1%,3.9%
69,地理,,女生,人數,5624,5504,,68,278,665,2198,3738,4893,5389,115
70,地理,,女生,百分比,,,49.6,1.2%,5.1%,12.1%,39.9%,67.9%,88.9%,97.9%,2.1%
71,地理,,總數,人數,9839,9534,,109,444,1080,3560,6196,8344,9263,271
72,地理,,總數,百分比,,,55.6,1.1%,4.7%,11.3%,37.3%,65.0%,87.5%,97.2%,2.8%
73,健康管理與社會關懷,,男生,人數,315,297,,0,3,6,34,100,209,274,23
74,健康管理與社會關懷,,男生,百分比,,,92.6,0.0%,1.0%,2.0%,11.4%,33.7%,70.4%,92.3%,7.7%
75,健康管理與社會關懷,,女生,人數,606,575,,3,11,25,115,302,487,555,20
76,健康管理與社會關懷,,女生,百分比,,,85.6,0.5%,1.9%,4.3%,20.0%,52.5%,84.7%,96.5%,3.5%
77,健康管理與社會關懷,,總數,人數,921,872,,3,14,31,149,402,696,829,43
78,健康管理與社會關懷,,總數,百分比,,,88.0,0.3%,1.6%,3.6%,17.1%,46.1%,79.8%,95.1%,4.9%
79,歷史,,男生,人數,2698,2541,,35,137,327,1145,1880,2370,2508,33
80,歷史,,男生,百分比,,,72.5,1.4%,5.4%,12.9%,45.1%,74.0%,93.3%,98.7%,1.3%
81,歷史,,女生,人數,3189,3121,,48,187,459,1615,2504,3001,3101,20
82,歷史,,女生,百分比,,,53.2,1.5%,6.0%,14.7%,51.7%,80.2%,96.2%,99.4%,0.6%
83,歷史,,總數,人數,5887,5662,,83,324,786,2760,4384,5371,5609,53
84,歷史,,總數,百分比,,,61.8,1.5%,5.7%,13.9%,48.7%,77.4%,94.9%,99.1%,0.9%
85,資訊及通訊科技,,男生,人數,4585,4408,,43,150,359,1199,2337,3602,4188,220
86,資訊及通訊科技,,男生,百分比,,,63.4,1.0%,3.4%,8.1%,27.2%,53.0%,81.7%,95.0%,5.0%
87,資訊及通訊科技,,女生,人數,1412,1385,,5,37,114,382,750,1141,1315,70
88,資訊及通訊科技,,女生,百分比,,,39.2,0.4%,2.7%,8.2%,27.6%,54.2%,82.4%,94.9%,5.1%
89,資訊及通訊科技,,總數,人數,5997,5793,,48,187,473,1581,3087,4743,5503,290
90,資訊及通訊科技,,總數,百分比,,,57.6,0.8%,3.2%,8.2%,27.3%,53.3%,81.9%,95.0%,5.0%
91,通識教育,,男生,人數,27112,26410,,128,525,1344,7211,15494,22343,25566,844
92,通識教育,,男生,百分比,,,88.1,0.5%,2.0%,5.1%,27.3%,58.7%,84.6%,96.8%,3.2%
93,通識教育,,女生,人數,26579,26169,,253,948,2405,10811,19146,24004,25799,370
94,通識教育,,女生,百分比,,,81.7,1.0%,3.6%,9.2%,41.3%,73.2%,91.7%,98.6%,1.4%
95,通識教育,,總數,人數,53691,52579,,381,1473,3749,18022,34640,46347,51365,1214
96,通識教育,,總數,百分比,,,84.9,0.7%,2.8%,7.1%,34.3%,65.9%,88.1%,97.7%,2.3%
97,英語文學,,男生,人數,39,34,,0,0,1,10,18,24,29,5
98,英語文學,,男生,百分比,,,-,0.0%,0.0%,2.9%,29.4%,52.9%,70.6%,85.3%,14.7%
99,英語文學,,女生,人數,341,338,,8,30,71,192,272,314,323,15
100,英語文學,,女生,百分比,,,-,2.4%,8.9%,21.0%,56.8%,80.5%,92.9%,95.6%,4.4%
101,英語文學,,總數,人數,380,372,,8,30,72,202,290,338,352,20
