行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*+,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
52,經濟,,女生,百分比,,,35.3,1.7%,5.9%,16.9%,46.8%,70.1%,88.3%,96.6%,3.4%
53,經濟,,總數,人數,13385,13107,,234,864,2249,6099,9070,11420,12571,536
54,經濟,,總數,百分比,,,40.4,1.8%,6.6%,17.2%,46.5%,69.2%,87.1%,95.9%,4.1%
55,英國語文,,男生,人數,25325,24761,,164,667,1725,5565,11944,18435,22028,2733
56,英國語文,,男生,百分比,,,-,0.7%,2.7%,7.0%,22.5%,48.2%,74.5%,89.0%,11.0%
57,英國語文,,女生,人數,25212,24971,,307,1141,2774,7785,14796,20969,23698,1273
58,英國語文,,女生,百分比,,,-,1.2%,4.6%,11.1%,31.2%,59.3%,84.0%,94.9%,5.1%
59,英國語文,,總數,人數,50537,49732,,471,1808,4499,13350,26740,39404,45726,4006
60,英國語文,,總數,百分比,,,-,0.9%,3.6%,9.0%,26.8%,53.8%,79.2%,91.9%,8.1%
61,倫理與宗教,,男生,人數,355,337,,2,8,17,63,187,296,325,12
62,倫理與宗教,,男生,百分比,,,97.3,0.6%,2.4%,5.0%,18.7%,55.5%,87.8%,96.4%,3.6%
63,倫理與宗教,,女生,人數,420,411,,5,20,53,150,296,377,401,10
64,倫理與宗教,,女生,百分比,,,90.5,1.2%,4.9%,12.9%,36.5%,72.0%,91.7%,97.6%,2.4%
65,倫理與宗教,,總數,人數,775,748,,7,28,70,213,483,673,726,22
66,倫理與宗教,,總數,百分比,,,93.6,0.9%,3.7%,9.4%,28.5%,64.6%,90.0%,97.1%,2.9%
67,地理,,男生,人數,3987,3874,,40,162,404,1320,2381,3340,3736,138
68,地理,,男生,百分比,,,63.7,1.0%,4.2%,10.4%,34.1%,61.5%,86.2%,96.4%,3.6%
69,地理,,女生,人數,5401,5330,,68,273,658,2159,3652,4770,5230,100
70,地理,,女生,百分比,,,49.1,1.3%,5.1%,12.3%,40.5%,68.5%,89.5%,98.1%,1.9%
71,地理,,總數,人數,9388,9204,,108,435,1062,3479,6033,8110,8966,238
72,地理,,總數,百分比,,,55.3,1.2%,4.7%,11.5%,37.8%,65.5%,88.1%,97.4%,2.6%
73,健康管理與社會關懷,,男生,人數,294,282,,0,2,5,31,95,201,259,23
74,健康管理與社會關懷,,男生,百分比,,,92.2,0.0%,0.7%,1.8%,11.0%,33.7%,71.3%,91.8%,8.2%
75,健康管理與社會關懷,,女生,人數,565,550,,3,11,25,112,294,468,530,20
76,健康管理與社會關懷,,女生,百分比,,,85.5,0.5%,2.0%,4.5%,20.4%,53.5%,85.1%,96.4%,3.6%
77,健康管理與社會關懷,,總數,人數,859,832,,3,13,30,143,389,669,789,43
78,健康管理與社會關懷,,總數,百分比,,,87.7,0.4%,1.6%,3.6%,17.2%,46.8%,80.4%,94.8%,5.2%
79,歷史,,男生,人數,2475,2385,,31,126,300,1062,1764,2229,2357,28
80,歷史,,男生,百分比,,,72.2,1.3%,5.3%,12.6%,44.5%,74.0%,93.5%,98.8%,1.2%
81,歷史,,女生,人數,3050,3014,,46,182,449,1575,2436,2906,2998,16
82,歷史,,女生,百分比,,,52.5,1.5%,6.0%,14.9%,52.3%,80.8%,96.4%,99.5%,0.5%
83,歷史,,總數,人數,5525,5399,,77,308,749,2637,4200,5135,5355,44
84,歷史,,總數,百分比,,,61.2,1.4%,5.7%,13.9%,48.8%,77.8%,95.1%,99.2%,0.8%
85,資訊及通訊科技,,男生,人數,4351,4231,,36,138,332,1137,2243,3476,4036,195
86,資訊及通訊科技,,男生,百分比,,,63.4,0.9%,3.3%,7.8%,26.9%,53.0%,82.2%,95.4%,4.6%
87,資訊及通訊科技,,女生,人數,1355,1336,,5,36,110,370,730,1113,1273,63
88,資訊及通訊科技,,女生,百分比,,,38.2,0.4%,2.7%,8.2%,27.7%,54.6%,83.3%,95.3%,4.7%
89,資訊及通訊科技,,總數,人數,5706,5567,,41,174,442,1507,2973,4589,5309,258
90,資訊及通訊科技,,總數,百分比,,,57.3,0.7%,3.1%,7.9%,27.1%,53.4%,82.4%,95.4%,4.6%
91,通識教育,,男生,人數,25309,24970,,121,498,1275,6883,14794,21287,24249,721
92,通識教育,,男生,百分比,,,87.9,0.5%,2.0%,5.1%,27.6%,59.2%,85.3%,97.1%,2.9%
93,通識教育,,女生,人數,25204,25026,,248,933,2362,10559,18612,23191,24777,249
94,通識教育,,女生,百分比,,,81.3,1.0%,3.7%,9.4%,42.2%,74.4%,92.7%,99.0%,1.0%
95,通識教育,,總數,人數,50513,49996,,369,1431,3637,17442,33406,44478,49026,970
96,通識教育,,總數,百分比,,,84.6,0.7%,2.9%,7.3%,34.9%,66.8%,89.0%,98.1%,1.9%
97,英語文學,,男生,人數,33,32,,0,0,1,10,18,24,29,3
98,英語文學,,男生,百分比,,,-,0.0%,0.0%,3.1%,31.3%,56.3%,75.0%,90.6%,9.4%
99,英語文學,,女生,人數,335,333,,8,30,71,191,271,313,320,13
100,英語文學,,女生,百分比,,,-,2.4%,9.0%,21.3%,57.4%,81.4%,94.0%,96.1%,3.9%
101,英語文學,,總數,人數,368,365,,8,30,72,201,289,337,349,16
102,英語文學,,總數,百分比,,,-,2.2%,8.2%,19.7%,55.1%,79.2%,92.3%,95.6%,4.4%
103,數學,必修部分,男生,人數,25326,24748,,473,1751,4090,9987,14816,20299,22958,1790
104,數學,必修部分,男生,百分比,,,45.8,1.9%,7.1%,16.5%,40.4%,59.9%,82.0%,92.8%,7.2%
105,數學,必修部分,女生,人數,25211,24901,,187,1000,2814,9274,14940,20673,23442,1459
106,數學,必修部分,女生,百分比,,,35.2,0.8%,4.0%,11.3%,37.2%,60.0%,83.0%,94.1%,5.9%
107,數學,必修部分,總數,人數,50537,49649,,660,2751,6904,19261,29756,40972,46400,3249
108,數學,必修部分,總數,百分比,,,40.5,1.3%,5.5%,13.9%,38.8%,59.9%,82.5%,93.5%,6.5%
109,數學,延伸部分 (微積分與統計),男生,人數,1517,1427,,44,152,369,766,1044,1238,1354,73
