行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標,
1,應用科學,動物護理,男生,人數,15,13,1,7,13,0,
2,應用科學,動物護理,男生,百分比,,,7.7%,53.8%,100.0%,0.0%,
3,應用科學,動物護理,女生,人數,39,37,11,24,36,1,
4,應用科學,動物護理,女生,百分比,,,29.7%,64.9%,97.3%,2.7%,
5,應用科學,動物護理,總數,人數,54,50,12,31,49,1,
6,應用科學,動物護理,總數,百分比,,,24.0%,62.0%,98.0%,2.0%,
7,應用科學,應用心理學,男生,人數,90,83,5,35,75,8,
8,應用科學,應用心理學,男生,百分比,,,6.0%,42.2%,90.4%,9.6%,
9,應用科學,應用心理學,女生,人數,75,68,16,39,68,0,
10,應用科學,應用心理學,女生,百分比,,,23.5%,57.4%,100.0%,0.0%,
11,應用科學,應用心理學,總數,人數,165,151,21,74,143,8,
12,應用科學,應用心理學,總數,百分比,,,13.9%,49.0%,94.7%,5.3%,
13,應用科學,運動科學及體適能,男生,人數,46,37,3,13,33,4,
14,應用科學,運動科學及體適能,男生,百分比,,,8.1%,35.1%,89.2%,10.8%,
15,應用科學,運動科學及體適能,女生,人數,28,23,3,10,21,2,
16,應用科學,運動科學及體適能,女生,百分比,,,13.0%,43.5%,91.3%,8.7%,
17,應用科學,運動科學及體適能,總數,人數,74,60,6,23,54,6,
18,應用科學,運動科學及體適能,總數,百分比,,,10.0%,38.3%,90.0%,10.0%,
19,應用科學,中醫藥學基礎,男生,人數,30,27,4,12,26,1,
20,應用科學,中醫藥學基礎,男生,百分比,,,14.8%,44.4%,96.3%,3.7%,
21,應用科學,中醫藥學基礎,女生,人數,42,41,3,19,38,3,
22,應用科學,中醫藥學基礎,女生,百分比,,,7.3%,46.3%,92.7%,7.3%,
23,應用科學,中醫藥學基礎,總數,人數,72,68,7,31,64,4,
24,應用科學,中醫藥學基礎,總數,百分比,,,10.3%,45.6%,94.1%,5.9%,
25,應用科學,健康護理實務,男生,人數,41,34,1,5,32,2,
26,應用科學,健康護理實務,男生,百分比,,,2.9%,14.7%,94.1%,5.9%,
27,應用科學,健康護理實務,女生,人數,147,137,13,47,137,0,
28,應用科學,健康護理實務,女生,百分比,,,9.5%,34.3%,100.0%,0.0%,
29,應用科學,健康護理實務,總數,人數,188,171,14,52,169,2,
30,應用科學,健康護理實務,總數,百分比,,,8.2%,30.4%,98.8%,1.2%,
31,應用科學,醫務化驗科學,男生,人數,23,22,8,16,16,6,
32,應用科學,醫務化驗科學,男生,百分比,,,36.4%,72.7%,72.7%,27.3%,
33,應用科學,醫務化驗科學,女生,人數,33,33,7,16,18,15,
