行號,"考生考獲最高等
級成績的總科數",在甲類、乙類或丙類科目考獲有關成績的考生 - 男生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 總數,在甲類、乙類或丙類科目考獲有關成績的考生 - 總百分比,在甲類科目考獲有關成績的考生 - 男生人數,在甲類科目考獲有關成績的考生 - 男生百分比,在甲類科目考獲有關成績的考生 - 女生人數,在甲類科目考獲有關成績的考生 - 女生百分比,在甲類科目考獲有關成績的考生 - 總數,在甲類科目考獲有關成績的考生 - 總百分比
1,8,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 
2,7,9,0.0 ,3,0.0 ,12,0.0 ,9,0.0 ,3,0.0 ,12,0.0 
3,6,8,0.0 ,7,0.0 ,15,0.0 ,8,0.0 ,7,0.0 ,15,0.0 
4,5,34,0.1 ,28,0.1 ,62,0.1 ,33,0.1 ,28,0.1 ,61,0.1 
5,4,57,0.2 ,51,0.2 ,108,0.2 ,57,0.2 ,49,0.2 ,106,0.2 
6,3,106,0.4 ,86,0.3 ,192,0.4 ,103,0.4 ,85,0.3 ,188,0.3 
7,2,216,0.8 ,236,0.9 ,452,0.8 ,215,0.8 ,225,0.9 ,440,0.8 
8,1,1089,3.9 ,1203,4.5 ,2292,4.2 ,960,3.4 ,867,3.3 ,1827,3.4 
9,0,26637,94.6 ,24872,93.9 ,51509,94.3 ,26694,95.1 ,25145,95.2 ,51839,95.1 
10,總數,28156,100.0 ,26486,100.0 ,54642,100.0 ,28079,100.0 ,26409,100.0 ,54488,100.0 
