行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數,,,,,,,
1,考生人數,人數,23583,23134,46717,28156,26486,54642,,,,,,,
2,於核心科目中取得「3322」或更佳成績,人數,8177,11617,19794,8420,11860,20280,,,,,,,
3,於核心科目中取得「3322」或更佳成績,百分比,34.7%,50.2%,42.4%,29.9%,44.8%,37.1%,,,,,,,
4,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",人數,8161,11581,19742,8392,11811,20203,,,,,,,
5,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",百分比,34.6%,50.1%,42.3%,29.8%,44.6%,37.0%,,,,,,,
6,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",人數,7818,11072,18890,8011,11262,19273,,,,,,,
7,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",百分比,33.2%,47.9%,40.4%,28.5%,42.5%,35.3%,,,,,,,
8,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",人數,7928,11016,18944,8145,11228,19373,,,,,,,
9,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,33.6%,47.6%,40.6%,28.9%,42.4%,35.5%,,,,,,,
10,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",人數,7074,9449,16523,7233,9603,16836,,,,,,,
11,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,30.0%,40.8%,35.4%,25.7%,36.3%,30.8%,,,,,,,
12,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",人數,7476,9871,17347,7678,10046,17724,,,,,,,
13,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,31.7%,42.7%,37.1%,27.3%,37.9%,32.4%,,,,,,,
14,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",人數,6786,8786,15572,6937,8928,15865,,,,,,,
15,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,28.8%,38.0%,33.3%,24.6%,33.7%,29.0%,,,,,,,
16,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上# 成績",人數,6809,8896,15705,6982,9048,16030,,,,,,,
17,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上# 成績",百分比,28.9%,38.5%,33.6%,24.8%,34.2%,29.3%,,,,,,,
18,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上# 成績",人數,5218,6194,11412,5321,6292,11613,,,,,,,
19,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上# 成績",百分比,22.1%,26.8%,24.4%,18.9%,23.8%,21.3%,,,,,,,
20,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",人數,3894,4261,8155,3986,4335,8321,,,,,,,
21,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",百分比,16.5%,18.4%,17.5%,14.2%,16.4%,15.2%,,,,,,,
22,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",人數,2322,2217,4539,2365,2258,4623,,,,,,,
23,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",百分比,9.8%,9.6%,9.7%,8.4%,8.5%,8.5%,,,,,,,
24,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",人數,2838,1685,4523,2897,1717,4614,,,,,,,
25,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,12.0%,7.3%,9.7%,10.3%,6.5%,8.4%,,,,,,,
26,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",人數,2628,1481,4109,2680,1509,4189,,,,,,,
27,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,11.1%,6.4%,8.8%,9.5%,5.7%,7.7%,,,,,,,
28,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",人數,2616,1468,4084,2668,1496,4164,,,,,,,
29,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",百分比,11.1%,6.3%,8.7%,9.5%,5.6%,7.6%,,,,,,,
