行號,項目,類別,"肢體活動
能力障礙",視障,聽障,語障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,84,44,187,237,1324,412,462,282,58,3090
2,五科取得2 級或以上,人數,47,32,130,93,339,217,291,165,30,1344
3,五科取得3 級或以上,人數,20,24,77,43,71,103,114,82,19,553
4,五科取得4 級或以上,人數,3,17,32,16,16,33,36,40,8,201
5,五科取得5 級或以上,人數,1,4,10,1,4,5,4,6,0,35
6,於核心科目中取得「2222」或更佳成績,人數,40,31,117,80,204,189,246,142,29,1078
7,於核心科目中取得「2222」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,40,31,115,77,197,183,243,137,26,1049
8,於核心科目中取得「3322」或更佳成績,人數,19,26,67,34,46,85,105,98,18,498
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,19,26,66,34,45,85,103,97,17,492
10,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,16,24,63,33,44,81,94,87,16,458
