行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,175,227,147,40,9,4,,,602
2,5**,百分比,2.5%,3.2%,2.1%,0.6%,0.1%,0.1%,,,8.6%
3,5*,人數,80,346,583,323,86,12,2,,1432
4,5*,百分比,1.1%,4.9%,8.3%,4.6%,1.2%,0.2%,0.0%,,20.4%
5,5,人數,11,120,483,697,371,88,13,3,1786
6,5,百分比,0.2%,1.7%,6.9%,9.9%,5.3%,1.3%,0.2%,0.0%,25.5%
7,4,人數,,12,154,552,929,562,178,34,2421
8,4,百分比,,0.2%,2.2%,7.9%,13.2%,8.0%,2.5%,0.5%,34.5%
9,3,人數,,,,6,93,211,207,78,595
10,3,百分比,,,,0.1%,1.3%,3.0%,2.9%,1.1%,8.5%
11,2,人數,,,,,3,16,68,79,166
12,2,百分比,,,,,0.0%,0.2%,1.0%,1.1%,2.4%
13,1,人數,,,,,,,1,10,11
14,1,百分比,,,,,,,0.0%,0.1%,0.2%
15,U,人數,,,,,,,,4,4
16,U,百分比,,,,,,,,0.1%,0.1%
17,總數,人數,266,705,1367,1618,1491,893,469,208,7017
18,總數,百分比,3.8%,10.0%,19.5%,23.1%,21.2%,12.7%,6.7%,3.0%,100.0%
