行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20062,19859,39921,21290,20765,42055
2,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,人數,13700,15003,28703,14214,15420,29634
3,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,百分比,68.3%,75.5%,71.9%,66.8%,74.3%,70.5%
