No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,77,93,100,127,52,9,,,458
2,5**,Percentage,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,,,1.1%
3,5*,Number,82,218,306,437,272,60,7,,1382
4,5*,Percentage,0.2%,0.5%,0.7%,1.0%,0.6%,0.1%,0.0%,,3.3%
5,5,Number,85,256,465,999,682,195,20,,2702
6,5,Percentage,0.2%,0.6%,1.1%,2.4%,1.6%,0.5%,0.0%,,6.4%
7,4,Number,109,365,921,2781,3178,1459,190,27,9030
8,4,Percentage,0.3%,0.9%,2.2%,6.6%,7.5%,3.4%,0.4%,0.1%,21.3%
9,3,Number,42,174,436,1931,4082,3742,935,152,11494
10,3,Percentage,0.1%,0.4%,1.0%,4.6%,9.6%,8.8%,2.2%,0.4%,27.2%
11,2,Number,7,77,183,670,2208,4720,2960,1120,11945
12,2,Percentage,0.0%,0.2%,0.4%,1.6%,5.2%,11.2%,7.0%,2.6%,28.2%
13,1,Number,1,5,34,92,238,817,1346,1465,3998
14,1,Percentage,0.0%,0.0%,0.1%,0.2%,0.6%,1.9%,3.2%,3.5%,9.5%
15,U,Number,,1,5,13,33,100,224,921,1297
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.2%,0.5%,2.2%,3.1%
17,Total,Number,403,1189,2450,7050,10745,11102,5682,3685,42306
18,Total,Percentage,1.0%,2.8%,5.8%,16.7%,25.4%,26.2%,13.4%,8.7%,100.0%
