行號,項目,類別,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 男生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 女生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 總數,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數
1,考生人數,人數,17439,17997,35436,17439,17997,35436
2,總積點 16 – 18,人數,181,230,411,185,240,425
3,總積點 16 – 18,百分比,1.0%,1.3%,1.2%,1.1%,1.3%,1.2%
4,總積點 19 – 21,人數,1244,1510,2754,1283,1537,2820
5,總積點 19 – 21,百分比,7.1%,8.4%,7.8%,7.4%,8.5%,8.0%
6,總積點 22 – 24,人數,1823,2213,4036,1892,2258,4150
7,總積點 22 – 24,百分比,10.5%,12.3%,11.4%,10.8%,12.5%,11.7%
8,總積點 25 – 27,人數,1433,1757,3190,1487,1758,3245
9,總積點 25 – 27,百分比,8.2%,9.8%,9.0%,8.5%,9.8%,9.2%
10,總積點 28 – 30,人數,902,999,1901,911,997,1908
11,總積點 28 – 30,百分比,5.2%,5.6%,5.4%,5.2%,5.5%,5.4%
12,總積點 31 – 33,人數,565,604,1169,541,613,1154
13,總積點 31 – 33,百分比,3.2%,3.4%,3.3%,3.1%,3.4%,3.3%
14,總積點 34 – 36,人數,326,311,637,260,272,532
15,總積點 34 – 36,百分比,1.9%,1.7%,1.8%,1.5%,1.5%,1.5%
16,總積點 37 – 39,人數,168,168,336,115,134,249
17,總積點 37 – 39,百分比,1.0%,0.9%,0.9%,0.7%,0.7%,0.7%
18,總積點 40 – 42,人數,57,58,115,25,41,66
19,總積點 40 – 42,百分比,0.3%,0.3%,0.3%,0.1%,0.2%,0.2%
