行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,191,271,113,17,1,,,,593
2,5**,百分比,2.9%,4.0%,1.7%,0.3%,0.0%,,,,8.9%
3,5*,人數,66,356,632,255,50,13,3,1,1376
4,5*,百分比,1.0%,5.3%,9.4%,3.8%,0.7%,0.2%,0.0%,0.0%,20.5%
5,5,人數,11,132,567,674,324,93,10,3,1814
6,5,百分比,0.2%,2.0%,8.5%,10.1%,4.8%,1.4%,0.1%,0.0%,27.1%
7,4,人數,,15,163,551,746,603,166,37,2281
8,4,百分比,,0.2%,2.4%,8.2%,11.1%,9.0%,2.5%,0.6%,34.1%
9,3,人數,,,2,3,48,175,164,87,479
10,3,百分比,,,0.0%,0.0%,0.7%,2.6%,2.4%,1.3%,7.2%
11,2,人數,,,,,2,10,37,91,140
12,2,百分比,,,,,0.0%,0.1%,0.6%,1.4%,2.1%
13,1,人數,,,,,,,1,11,12
14,1,百分比,,,,,,,0.0%,0.2%,0.2%
15,U,人數,,,,,,,,1,1
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,268,774,1477,1500,1171,894,381,231,6696
18,總數,百分比,4.0%,11.6%,22.1%,22.4%,17.5%,13.4%,5.7%,3.4%,100.0%
