No.,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,20819,20302,41121,25167,23595,48762
2,Core subjects at 3322 or better,Number,7745,9749,17494,7944,9962,17906
3,Core subjects at 3322 or better,Percentage,37.2%,48.0%,42.5%,31.6%,42.2%,36.7%
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,7729,9707,17436,7915,9909,17824
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,37.1%,47.8%,42.4%,31.4%,42.0%,36.6%
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,7402,9236,16638,7558,9400,16958
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,35.6%,45.5%,40.5%,30.0%,39.8%,34.8%
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,7527,9207,16734,7698,9386,17084
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,36.2%,45.4%,40.7%,30.6%,39.8%,35.0%
10,"Core subjects at 3322 or better, with two electives at level 3+ #",Number,6699,7850,14549,6836,7977,14813
11,"Core subjects at 3322 or better, with two electives at level 3+ #",Percentage,32.2%,38.7%,35.4%,27.2%,33.8%,30.4%
12,"Core subjects at 3332 or better, with one elective at level 3+ #",Number,7133,8303,15436,7295,8459,15754
13,"Core subjects at 3332 or better, with one elective at level 3+ #",Percentage,34.3%,40.9%,37.5%,29.0%,35.9%,32.3%
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,6481,7333,13814,6611,7452,14063
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,31.1%,36.1%,33.6%,26.3%,31.6%,28.8%
16,"Core subjects at 3322 or better, with one elective at level 4+ #",Number,6453,7316,13769,6590,7452,14042
17,"Core subjects at 3322 or better, with one elective at level 4+ #",Percentage,31.0%,36.0%,33.5%,26.2%,31.6%,28.8%
18,"Core subjects at 3322 or better, with two electives at level 4+ #",Number,4924,5043,9967,5019,5130,10149
19,"Core subjects at 3322 or better, with two electives at level 4+ #",Percentage,23.7%,24.8%,24.2%,19.9%,21.7%,20.8%
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3804,3474,7278,3876,3531,7407
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,18.3%,17.1%,17.7%,15.4%,15.0%,15.2%
22,"Core subjects at 3322 or better, with two electives at level 5+",Number,2287,1771,4058,2320,1793,4113
23,"Core subjects at 3322 or better, with two electives at level 5+",Percentage,11.0%,8.7%,9.9%,9.2%,7.6%,8.4%
24,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Number,2713,1578,4291,2766,1619,4385
25,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Percentage,13.0%,7.8%,10.4%,11.0%,6.9%,9.0%
26,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Number,2494,1398,3892,2541,1431,3972
27,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Percentage,12.0%,6.9%,9.5%,10.1%,6.1%,8.1%
28,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Number,2485,1388,3873,2531,1421,3952
29,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Percentage,11.9%,6.8%,9.4%,10.1%,6.0%,8.1%
