行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,151,224,102,15,1,,,,493
2,5**,百分比,2.5%,3.7%,1.7%,0.3%,0.0%,,,,8.2%
3,5*,人數,61,326,567,230,44,12,2,,1242
4,5*,百分比,1.0%,5.4%,9.5%,3.8%,0.7%,0.2%,0.0%,,20.7%
5,5,人數,9,118,525,614,297,85,8,2,1658
6,5,百分比,0.2%,2.0%,8.8%,10.2%,5.0%,1.4%,0.1%,0.0%,27.6%
7,4,人數,,13,148,504,687,541,147,27,2067
8,4,百分比,,0.2%,2.5%,8.4%,11.5%,9.0%,2.5%,0.5%,34.5%
9,3,人數,,,1,1,42,153,154,69,420
10,3,百分比,,,0.0%,0.0%,0.7%,2.6%,2.6%,1.2%,7.0%
11,2,人數,,,,,1,9,33,65,108
12,2,百分比,,,,,0.0%,0.2%,0.6%,1.1%,1.8%
13,1,人數,,,,,,,1,7,8
14,1,百分比,,,,,,,0.0%,0.1%,0.1%
15,U,人數,,,,,,,,1,1
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,221,681,1343,1364,1072,800,345,171,5997
18,總數,百分比,3.7%,11.4%,22.4%,22.7%,17.9%,13.3%,5.8%,2.9%,100.0%
