No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20062,19859,39921,21290,20765,42055
2,Level 2+ in the four core subjects,Number,13470,14598,28068,13947,14992,28939
3,Level 2+ in the four core subjects,Percentage,67.1%,73.5%,70.3%,65.5%,72.2%,68.8%
4,Level 2+ in five Category A subjects,Number,14920,15871,30791,15564,16359,31923
5,Level 2+ in five Category A subjects,Percentage,74.4%,79.9%,77.1%,73.1%,78.8%,75.9%
6,Level 2+ in five Category A / B subjects #,Number,14957,15964,30921,15603,16458,32061
7,Level 2+ in five Category A / B subjects #,Percentage,74.6%,80.4%,77.5%,73.3%,79.3%,76.2%
8,"Level 2+ in five Category A subjects, including Chinese Language and English Language",Number,13633,14869,28502,14146,15286,29432
9,"Level 2+ in five Category A subjects, including Chinese Language and English Language",Percentage,68.0%,74.9%,71.4%,66.4%,73.6%,70.0%
10,"Level 2+ in five Category A / B  subjects #, including Chinese Language and English Language",Number,13650,14913,28563,14163,15330,29493
11,"Level 2+ in five Category A / B  subjects #, including Chinese Language and English Language",Percentage,68.0%,75.1%,71.5%,66.5%,73.8%,70.1%
12,"Level 2+ in five Category A subjects, including Chinese Language, English Language and Mathematics",Number,13385,14428,27813,13879,14825,28704
13,"Level 2+ in five Category A subjects, including Chinese Language, English Language and Mathematics",Percentage,66.7%,72.7%,69.7%,65.2%,71.4%,68.3%
14,"Level 2+ in five Category A / B  subjects #, including Chinese Language, English Language and Mathematics",Number,13391,14451,27842,13885,14848,28733
15,"Level 2+ in five Category A / B  subjects #, including Chinese Language, English Language and Mathematics",Percentage,66.7%,72.8%,69.7%,65.2%,71.5%,68.3%
