行號,項目,類別,肢體活動能力障礙,視障,聽障,語障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,80,45,117,247,1592,426,554,681,74,3816
2,五科取得2 級或以上,人數,40,34,86,94,481,240,364,443,42,1824
3,五科取得3 級或以上,人數,19,27,61,37,127,139,199,259,25,893
4,五科取得4 級或以上,人數,10,18,19,10,28,49,70,120,11,335
5,五科取得5 級或以上,人數,2,8,2,1,4,8,10,27,1,63
6,於核心科目中取得「2222」或更佳成績,人數,33,32,82,66,304,220,331,415,41,1524
7,於核心科目中取得「2222」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,32,32,80,65,299,211,323,402,38,1482
8,於核心科目中取得「3322」或更佳成績,人數,20,26,54,25,66,110,189,282,27,799
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,19,26,54,25,66,108,188,277,26,789
10,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,19,26,53,24,61,107,179,254,25,748
