行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數
1,考生人數,人數,20819,20302,41121,25167,23595,48762
2,於核心科目中取得「3322」或更佳成績,人數,7745,9749,17494,7944,9962,17906
3,於核心科目中取得「3322」或更佳成績,百分比,37.2%,48.0%,42.5%,31.6%,42.2%,36.7%
4,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,人數,7729,9707,17436,7915,9909,17824
5,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,百分比,37.1%,47.8%,42.4%,31.4%,42.0%,36.6%
6,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,人數,7402,9236,16638,7558,9400,16958
7,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,百分比,35.6%,45.5%,40.5%,30.0%,39.8%,34.8%
8,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,7527,9207,16734,7698,9386,17084
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,36.2%,45.4%,40.7%,30.6%,39.8%,35.0%
10,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6699,7850,14549,6836,7977,14813
11,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,32.2%,38.7%,35.4%,27.2%,33.8%,30.4%
12,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,7133,8303,15436,7295,8459,15754
13,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,34.3%,40.9%,37.5%,29.0%,35.9%,32.3%
14,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6481,7333,13814,6611,7452,14063
15,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,31.1%,36.1%,33.6%,26.3%,31.6%,28.8%
16,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,人數,6453,7316,13769,6590,7452,14042
17,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,百分比,31.0%,36.0%,33.5%,26.2%,31.6%,28.8%
18,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,人數,4924,5043,9967,5019,5130,10149
19,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,百分比,23.7%,24.8%,24.2%,19.9%,21.7%,20.8%
20,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,人數,3804,3474,7278,3876,3531,7407
21,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,百分比,18.3%,17.1%,17.7%,15.4%,15.0%,15.2%
22,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,人數,2287,1771,4058,2320,1793,4113
23,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,百分比,11.0%,8.7%,9.9%,9.2%,7.6%,8.4%
24,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2713,1578,4291,2766,1619,4385
25,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,13.0%,7.8%,10.4%,11.0%,6.9%,9.0%
26,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2494,1398,3892,2541,1431,3972
27,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,12.0%,6.9%,9.5%,10.1%,6.1%,8.1%
28,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,人數,2485,1388,3873,2531,1421,3952
29,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,百分比,11.9%,6.8%,9.4%,10.1%,6.0%,8.1%
