No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,75,91,96,120,44,9,,,435
2,5**,Percentage,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,,,1.1%
3,5*,Number,82,214,299,417,246,53,6,,1317
4,5*,Percentage,0.2%,0.5%,0.8%,1.1%,0.6%,0.1%,0.0%,,3.3%
5,5,Number,85,255,457,980,646,185,20,,2628
6,5,Percentage,0.2%,0.6%,1.2%,2.5%,1.6%,0.5%,0.1%,,6.6%
7,4,Number,108,362,904,2718,3047,1373,177,22,8711
8,4,Percentage,0.3%,0.9%,2.3%,6.9%,7.7%,3.5%,0.4%,0.1%,22.0%
9,3,Number,42,169,428,1866,3922,3521,862,137,10947
10,3,Percentage,0.1%,0.4%,1.1%,4.7%,9.9%,8.9%,2.2%,0.3%,27.7%
11,2,Number,7,75,175,622,2030,4319,2738,1015,10981
12,2,Percentage,0.0%,0.2%,0.4%,1.6%,5.1%,10.9%,6.9%,2.6%,27.7%
13,1,Number,1,5,29,83,205,700,1208,1316,3547
14,1,Percentage,0.0%,0.0%,0.1%,0.2%,0.5%,1.8%,3.1%,3.3%,9.0%
15,U,Number,,1,4,12,26,78,167,723,1011
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.2%,0.4%,1.8%,2.6%
17,Total,Number,400,1172,2392,6818,10166,10238,5178,3213,39577
18,Total,Percentage,1.0%,3.0%,6.0%,17.2%,25.7%,25.9%,13.1%,8.1%,100.0%
