行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用學習 (職業英語),英文傳意,男生,人數,87,79,16,35,66,13
2,應用學習 (職業英語),英文傳意,男生,百分比,,,20.3%,44.3%,83.5%,16.5%
3,應用學習 (職業英語),英文傳意,女生,人數,101,98,24,51,89,9
4,應用學習 (職業英語),英文傳意,女生,百分比,,,24.5%,52.0%,90.8%,9.2%
5,應用學習 (職業英語),英文傳意,總數,人數,188,177,40,86,155,22
6,應用學習 (職業英語),英文傳意,總數,百分比,,,22.6%,48.6%,87.6%,12.4%
7,應用學習 (職業英語),服務業專業英語,男生,人數,50,49,4,10,35,14
8,應用學習 (職業英語),服務業專業英語,男生,百分比,,,8.2%,20.4%,71.4%,28.6%
9,應用學習 (職業英語),服務業專業英語,女生,人數,32,32,6,16,27,5
10,應用學習 (職業英語),服務業專業英語,女生,百分比,,,18.8%,50.0%,84.4%,15.6%
11,應用學習 (職業英語),服務業專業英語,總數,人數,82,81,10,26,62,19
12,應用學習 (職業英語),服務業專業英語,總數,百分比,,,12.3%,32.1%,76.5%,23.5%
13,應用科學,動物護理,男生,人數,16,16,3,5,14,2
14,應用科學,動物護理,男生,百分比,,,18.8%,31.3%,87.5%,12.5%
15,應用科學,動物護理,女生,人數,47,46,12,27,43,3
16,應用科學,動物護理,女生,百分比,,,26.1%,58.7%,93.5%,6.5%
17,應用科學,動物護理,總數,人數,63,62,15,32,57,5
18,應用科學,動物護理,總數,百分比,,,24.2%,51.6%,91.9%,8.1%
19,應用科學,應用心理學,男生,人數,81,73,10,25,66,7
20,應用科學,應用心理學,男生,百分比,,,13.7%,34.2%,90.4%,9.6%
21,應用科學,應用心理學,女生,人數,116,110,30,67,109,1
22,應用科學,應用心理學,女生,百分比,,,27.3%,60.9%,99.1%,0.9%
23,應用科學,應用心理學,總數,人數,197,183,40,92,175,8
24,應用科學,應用心理學,總數,百分比,,,21.9%,50.3%,95.6%,4.4%
25,應用科學,運動及體適能教練,男生,人數,88,72,2,13,60,12
26,應用科學,運動及體適能教練,男生,百分比,,,2.8%,18.1%,83.3%,16.7%
27,應用科學,運動及體適能教練,女生,人數,22,20,1,5,17,3
28,應用科學,運動及體適能教練,女生,百分比,,,5.0%,25.0%,85.0%,15.0%
29,應用科學,運動及體適能教練,總數,人數,110,92,3,18,77,15
30,應用科學,運動及體適能教練,總數,百分比,,,3.3%,19.6%,83.7%,16.3%
31,應用科學,運動科學及體適能,男生,人數,45,38,3,7,32,6
32,應用科學,運動科學及體適能,男生,百分比,,,7.9%,18.4%,84.2%,15.8%
33,應用科學,運動科學及體適能,女生,人數,16,16,0,7,15,1
34,應用科學,運動科學及體適能,女生,百分比,,,0.0%,43.8%,93.8%,6.3%
35,應用科學,運動科學及體適能,總數,人數,61,54,3,14,47,7
36,應用科學,運動科學及體適能,總數,百分比,,,5.6%,25.9%,87.0%,13.0%
37,應用科學,食品創新與科學,男生,人數,0,0,-,-,-,-
38,應用科學,食品創新與科學,男生,百分比,,,-,-,-,-
39,應用科學,食品創新與科學,女生,人數,0,0,-,-,-,-
40,應用科學,食品創新與科學,女生,百分比,,,-,-,-,-
41,應用科學,食品創新與科學,總數,人數,0,0,-,-,-,-
42,應用科學,食品創新與科學,總數,百分比,,,-,-,-,-
43,應用科學,中醫藥學基礎,男生,人數,30,26,4,10,22,4
44,應用科學,中醫藥學基礎,男生,百分比,,,15.4%,38.5%,84.6%,15.4%
45,應用科學,中醫藥學基礎,女生,人數,49,46,13,26,45,1
46,應用科學,中醫藥學基礎,女生,百分比,,,28.3%,56.5%,97.8%,2.2%
47,應用科學,中醫藥學基礎,總數,人數,79,72,17,36,67,5
48,應用科學,中醫藥學基礎,總數,百分比,,,23.6%,50.0%,93.1%,6.9%
49,應用科學,健康護理實務,男生,人數,37,35,4,10,34,1
50,應用科學,健康護理實務,男生,百分比,,,11.4%,28.6%,97.1%,2.9%
51,應用科學,健康護理實務,女生,人數,110,103,16,47,101,2
52,應用科學,健康護理實務,女生,百分比,,,15.5%,45.6%,98.1%,1.9%
53,應用科學,健康護理實務,總數,人數,147,138,20,57,135,3
54,應用科學,健康護理實務,總數,百分比,,,14.5%,41.3%,97.8%,2.2%
55,應用科學,醫務化驗科學,男生,人數,24,22,4,11,13,9
56,應用科學,醫務化驗科學,男生,百分比,,,18.2%,50.0%,59.1%,40.9%
57,應用科學,醫務化驗科學,女生,人數,46,41,13,27,29,12
58,應用科學,醫務化驗科學,女生,百分比,,,31.7%,65.9%,70.7%,29.3%
59,應用科學,醫務化驗科學,總數,人數,70,63,17,38,42,21
60,應用科學,醫務化驗科學,總數,百分比,,,27.0%,60.3%,66.7%,33.3%
61,應用科學,實用心理學,男生,人數,33,27,1,7,26,1
62,應用科學,實用心理學,男生,百分比,,,3.7%,25.9%,96.3%,3.7%
63,應用科學,實用心理學,女生,人數,54,51,14,23,50,1
64,應用科學,實用心理學,女生,百分比,,,27.5%,45.1%,98.0%,2.0%
65,應用科學,實用心理學,總數,人數,87,78,15,30,76,2
66,應用科學,實用心理學,總數,百分比,,,19.2%,38.5%,97.4%,2.6%
67,應用科學,復康護理實務,男生,人數,21,19,1,3,18,1
68,應用科學,復康護理實務,男生,百分比,,,5.3%,15.8%,94.7%,5.3%
69,應用科學,復康護理實務,女生,人數,29,29,6,14,28,1
70,應用科學,復康護理實務,女生,百分比,,,20.7%,48.3%,96.6%,3.4%
71,應用科學,復康護理實務,總數,人數,50,48,7,17,46,2
72,應用科學,復康護理實務,總數,百分比,,,14.6%,35.4%,95.8%,4.2%
73,商業、管理及法律,電子商務會計,男生,人數,33,33,3,12,30,3
74,商業、管理及法律,電子商務會計,男生,百分比,,,9.1%,36.4%,90.9%,9.1%
75,商業、管理及法律,電子商務會計,女生,人數,17,17,5,11,17,0
76,商業、管理及法律,電子商務會計,女生,百分比,,,29.4%,64.7%,100.0%,0.0%
