No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,72.9,0.7%,3.1%,7.9%,30.6%,58.6%,87.5%,96.6%,3.4%
19,Chemistry,,Male,Number,6785,6251,,206,757,1776,3345,4837,5505,5980,271
20,Chemistry,,Male,Percentage,,,27.5,3.3%,12.1%,28.4%,53.5%,77.4%,88.1%,95.7%,4.3%
21,Chemistry,,Female,Number,5398,5056,,124,481,1190,2414,3724,4407,4832,224
22,Chemistry,,Female,Percentage,,,23.5,2.5%,9.5%,23.5%,47.7%,73.7%,87.2%,95.6%,4.4%
23,Chemistry,,Total,Number,12183,11307,,330,1238,2966,5759,8561,9912,10812,495
24,Chemistry,,Total,Percentage,,,25.7,2.9%,10.9%,26.2%,50.9%,75.7%,87.7%,95.6%,4.4%
25,Chinese History,,Male,Number,2613,2376,,38,130,311,868,1530,2096,2266,110
26,Chinese History,,Male,Percentage,,,-,1.6%,5.5%,13.1%,36.5%,64.4%,88.2%,95.4%,4.6%
27,Chinese History,,Female,Number,3303,3110,,37,169,432,1264,2127,2857,3036,74
28,Chinese History,,Female,Percentage,,,-,1.2%,5.4%,13.9%,40.6%,68.4%,91.9%,97.6%,2.4%
29,Chinese History,,Total,Number,5916,5486,,75,299,743,2132,3657,4953,5302,184
30,Chinese History,,Total,Percentage,,,-,1.4%,5.5%,13.5%,38.9%,66.7%,90.3%,96.6%,3.4%
31,Chinese Language,,Male,Number,23066,22158,,119,489,1340,5040,10993,18315,21137,1021
32,Chinese Language,,Male,Percentage,,,-,0.5%,2.2%,6.0%,22.7%,49.6%,82.7%,95.4%,4.6%
33,Chinese Language,,Female,Number,21758,21144,,367,1430,3335,8837,14586,19490,20801,343
34,Chinese Language,,Female,Percentage,,,-,1.7%,6.8%,15.8%,41.8%,69.0%,92.2%,98.4%,1.6%
35,Chinese Language,,Total,Number,44824,43302,,486,1919,4675,13877,25579,37805,41938,1364
36,Chinese Language,,Total,Percentage,,,-,1.1%,4.4%,10.8%,32.0%,59.1%,87.3%,96.9%,3.1%
37,Chinese Literature,,Male,Number,288,257,,3,14,35,79,163,213,243,14
38,Chinese Literature,,Male,Percentage,,,-,1.2%,5.4%,13.6%,30.7%,63.4%,82.9%,94.6%,5.4%
39,Chinese Literature,,Female,Number,1015,973,,13,56,141,368,678,885,954,19
40,Chinese Literature,,Female,Percentage,,,-,1.3%,5.8%,14.5%,37.8%,69.7%,91.0%,98.0%,2.0%
41,Chinese Literature,,Total,Number,1303,1230,,16,70,176,447,841,1098,1197,33
42,Chinese Literature,,Total,Percentage,,,-,1.3%,5.7%,14.3%,36.3%,68.4%,89.3%,97.3%,2.7%
43,Design and Applied Technology,,Male,Number,404,354,,0,4,13,45,92,242,305,49
44,Design and Applied Technology,,Male,Percentage,,,95.2,0.0%,1.1%,3.7%,12.7%,26.0%,68.4%,86.2%,13.8%
45,Design and Applied Technology,,Female,Number,163,145,,2,4,8,31,55,108,133,12
46,Design and Applied Technology,,Female,Percentage,,,89.7,1.4%,2.8%,5.5%,21.4%,37.9%,74.5%,91.7%,8.3%
47,Design and Applied Technology,,Total,Number,567,499,,2,8,21,76,147,350,438,61
48,Design and Applied Technology,,Total,Percentage,,,93.6,0.4%,1.6%,4.2%,15.2%,29.5%,70.1%,87.8%,12.2%
49,Economics,,Male,Number,5967,5516,,132,479,1139,2555,3665,4684,5211,305
50,Economics,,Male,Percentage,,,45.8,2.4%,8.7%,20.6%,46.3%,66.4%,84.9%,94.5%,5.5%
51,Economics,,Female,Number,6331,6043,,108,381,1008,2753,4001,5165,5716,327
52,Economics,,Female,Percentage,,,36.2,1.8%,6.3%,16.7%,45.6%,66.2%,85.5%,94.6%,5.4%
53,Economics,,Total,Number,12298,11559,,240,860,2147,5308,7666,9849,10927,632
54,Economics,,Total,Percentage,,,40.8,2.1%,7.4%,18.6%,45.9%,66.3%,85.2%,94.5%,5.5%
55,English Language,,Male,Number,24158,23347,,152,728,2011,5703,11426,17520,20729,2618
56,English Language,,Male,Percentage,,,-,0.7%,3.1%,8.6%,24.4%,48.9%,75.0%,88.8%,11.2%
57,English Language,,Female,Number,23051,22512,,294,1034,2464,6419,12242,18288,21096,1416
58,English Language,,Female,Percentage,,,-,1.3%,4.6%,10.9%,28.5%,54.4%,81.2%,93.7%,6.3%
59,English Language,,Total,Number,47209,45859,,446,1762,4475,12122,23668,35808,41825,4034
60,English Language,,Total,Percentage,,,-,1.0%,3.8%,9.8%,26.4%,51.6%,78.1%,91.2%,8.8%
61,Ethics and Religious Studies,,Male,Number,336,275,,2,6,14,53,160,238,264,11
62,Ethics and Religious Studies,,Male,Percentage,,,95.6,0.7%,2.2%,5.1%,19.3%,58.2%,86.5%,96.0%,4.0%
63,Ethics and Religious Studies,,Female,Number,409,368,,5,18,46,136,264,343,363,5
64,Ethics and Religious Studies,,Female,Percentage,,,95.9,1.4%,4.9%,12.5%,37.0%,71.7%,93.2%,98.6%,1.4%
65,Ethics and Religious Studies,,Total,Number,745,643,,7,24,60,189,424,581,627,16
66,Ethics and Religious Studies,,Total,Percentage,,,95.8,1.1%,3.7%,9.3%,29.4%,65.9%,90.4%,97.5%,2.5%
67,Geography,,Male,Number,3480,3228,,49,180,415,1172,1985,2795,3130,98
68,Geography,,Male,Percentage,,,62.3,1.5%,5.6%,12.9%,36.3%,61.5%,86.6%,97.0%,3.0%
69,Geography,,Female,Number,4123,3960,,46,199,503,1539,2545,3533,3894,66
70,Geography,,Female,Percentage,,,51.2,1.2%,5.0%,12.7%,38.9%,64.3%,89.2%,98.3%,1.7%
71,Geography,,Total,Number,7603,7188,,95,379,918,2711,4530,6328,7024,164
72,Geography,,Total,Percentage,,,56.2,1.3%,5.3%,12.8%,37.7%,63.0%,88.0%,97.7%,2.3%
73,Health Management and Social Care,,Male,Number,332,281,,0,3,4,30,90,196,249,32
74,Health Management and Social Care,,Male,Percentage,,,97.2,0.0%,1.1%,1.4%,10.7%,32.0%,69.8%,88.6%,11.4%
75,Health Management and Social Care,,Female,Number,566,527,,4,11,28,110,243,446,496,31
76,Health Management and Social Care,,Female,Percentage,,,91.8,0.8%,2.1%,5.3%,20.9%,46.1%,84.6%,94.1%,5.9%
77,Health Management and Social Care,,Total,Number,898,808,,4,14,32,140,333,642,745,63
78,Health Management and Social Care,,Total,Percentage,,,93.7,0.5%,1.7%,4.0%,17.3%,41.2%,79.5%,92.2%,7.8%
79,History,,Male,Number,2195,2031,,24,108,285,925,1475,1889,2000,31
80,History,,Male,Percentage,,,68.0,1.2%,5.3%,14.0%,45.5%,72.6%,93.0%,98.5%,1.5%
81,History,,Female,Number,2435,2319,,43,154,359,1105,1769,2193,2295,24
82,History,,Female,Percentage,,,53.4,1.9%,6.6%,15.5%,47.6%,76.3%,94.6%,99.0%,1.0%
83,History,,Total,Number,4630,4350,,67,262,644,2030,3244,4082,4295,55
84,History,,Total,Percentage,,,60.2,1.5%,6.0%,14.8%,46.7%,74.6%,93.8%,98.7%,1.3%
85,Information and Communication Technology,,Male,Number,4224,3963,,60,213,526,1351,2236,3263,3722,241
86,Information and Communication Technology,,Male,Percentage,,,59.7,1.5%,5.4%,13.3%,34.1%,56.4%,82.3%,93.9%,6.1%
87,Information and Communication Technology,,Female,Number,1310,1238,,8,48,116,354,651,982,1145,93
88,Information and Communication Technology,,Female,Percentage,,,40.3,0.6%,3.9%,9.4%,28.6%,52.6%,79.3%,92.5%,7.5%
89,Information and Communication Technology,,Total,Number,5534,5201,,68,261,642,1705,2887,4245,4867,334
90,Information and Communication Technology,,Total,Percentage,,,55.1,1.3%,5.0%,12.3%,32.8%,55.5%,81.6%,93.6%,6.4%
91,Liberal Studies,,Male,Number,22934,21951,,133,510,1450,6615,13544,19087,21289,662
92,Liberal Studies,,Male,Percentage,,,87.0,0.6%,2.3%,6.6%,30.1%,61.7%,87.0%,97.0%,3.0%
93,Liberal Studies,,Female,Number,21773,21209,,261,1100,2648,9259,15624,19593,20937,272
94,Liberal Studies,,Female,Percentage,,,80.6,1.2%,5.2%,12.5%,43.7%,73.7%,92.4%,98.7%,1.3%
95,Liberal Studies,,Total,Number,44707,43160,,394,1610,4098,15874,29168,38680,42226,934
96,Liberal Studies,,Total,Percentage,,,83.9,0.9%,3.7%,9.5%,36.8%,67.6%,89.6%,97.8%,2.2%
97,Literature in English,,Male,Number,27,22,,0,0,3,4,10,13,15,7
98,Literature in English,,Male,Percentage,,,-,0.0%,0.0%,13.6%,18.2%,45.5%,59.1%,68.2%,31.8%
99,Literature in English,,Female,Number,202,192,,5,20,49,115,162,182,187,5
100,Literature in English,,Female,Percentage,,,-,2.6%,10.4%,25.5%,59.9%,84.4%,94.8%,97.4%,2.6%
101,Literature in English,,Total,Number,229,214,,5,20,52,119,172,195,202,12
102,Literature in English,,Total,Percentage,,,-,2.3%,9.3%,24.3%,55.6%,80.4%,91.1%,94.4%,5.6%
103,Mathematics,Compulsory Part,Male,Number,24090,22927,,575,1874,4136,9482,13448,18606,21001,1926
104,Mathematics,Compulsory Part,Male,Percentage,,,43.3,2.5%,8.2%,18.0%,41.4%,58.7%,81.2%,91.6%,8.4%
105,Mathematics,Compulsory Part,Female,Number,22504,21714,,139,821,2439,7769,12353,17756,20133,1581
106,Mathematics,Compulsory Part,Female,Percentage,,,35.2,0.6%,3.8%,11.2%,35.8%,56.9%,81.8%,92.7%,7.3%
107,Mathematics,Compulsory Part,Total,Number,46594,44641,,714,2695,6575,17251,25801,36362,41134,3507
108,Mathematics,Compulsory Part,Total,Percentage,,,39.4,1.6%,6.0%,14.7%,38.6%,57.8%,81.5%,92.1%,7.9%
109,Mathematics,Extended Part (Calculus and Statistics),Male,Number,1431,1296,,52,214,434,707,917,1101,1211,85
110,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,23.0,4.0%,16.5%,33.5%,54.6%,70.8%,85.0%,93.4%,6.6%
111,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1075,973,,22,101,299,561,727,867,933,40
112,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,17.2,2.3%,10.4%,30.7%,57.7%,74.7%,89.1%,95.9%,4.1%
113,Mathematics,Extended Part (Calculus and Statistics),Total,Number,2506,2269,,74,315,733,1268,1644,1968,2144,125
114,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,20.5,3.3%,13.9%,32.3%,55.9%,72.5%,86.7%,94.5%,5.5%
115,Mathematics,Extended Part (Algebra and Calculus),Male,Number,3562,3223,,176,616,1402,2076,2631,3015,3150,73
116,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,12.8,5.5%,19.1%,43.5%,64.4%,81.6%,93.5%,97.7%,2.3%
117,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1368,1255,,20,118,399,699,950,1144,1217,38
118,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,14.3,1.6%,9.4%,31.8%,55.7%,75.7%,91.2%,97.0%,3.0%
119,Mathematics,Extended Part (Algebra and Calculus),Total,Number,4930,4478,,196,734,1801,2775,3581,4159,4367,111
120,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,13.2,4.4%,16.4%,40.2%,62.0%,80.0%,92.9%,97.5%,2.5%
121,Music,,Male,Number,86,83,,4,17,38,60,75,81,81,2
122,Music,,Male,Percentage,,,2.4,4.8%,20.5%,45.8%,72.3%,90.4%,97.6%,97.6%,2.4%
123,Music,,Female,Number,88,86,,1,4,13,44,63,84,85,1
124,Music,,Female,Percentage,,,7.0,1.2%,4.7%,15.1%,51.2%,73.3%,97.7%,98.8%,1.2%
125,Music,,Total,Number,174,169,,5,21,51,104,138,165,166,3
126,Music,,Total,Percentage,,,4.7,3.0%,12.4%,30.2%,61.5%,81.7%,97.6%,98.2%,1.8%
127,Physical Education,,Male,Number,862,820,,3,6,15,103,300,541,714,106
128,Physical Education,,Male,Percentage,,,88.2,0.4%,0.7%,1.8%,12.6%,36.6%,66.0%,87.1%,12.9%
129,Physical Education,,Female,Number,255,243,,1,8,18,61,126,174,219,24
130,Physical Education,,Female,Percentage,,,78.2,0.4%,3.3%,7.4%,25.1%,51.9%,71.6%,90.1%,9.9%
131,Physical Education,,Total,Number,1117,1063,,4,14,33,164,426,715,933,130
132,Physical Education,,Total,Percentage,,,85.9,0.4%,1.3%,3.1%,15.4%,40.1%,67.3%,87.8%,12.2%
133,Physics,,Male,Number,7263,6792,,230,892,2127,3586,5005,6135,6623,169
134,Physics,,Male,Percentage,,,29.7,3.4%,13.1%,31.3%,52.8%,73.7%,90.3%,97.5%,2.5%
135,Physics,,Female,Number,2680,2510,,41,199,583,1180,1790,2248,2445,65
136,Physics,,Female,Percentage,,,21.8,1.6%,7.9%,23.2%,47.0%,71.3%,89.6%,97.4%,2.6%
137,Physics,,Total,Number,9943,9302,,271,1091,2710,4766,6795,8383,9068,234
138,Physics,,Total,Percentage,,,27.6,2.9%,11.7%,29.1%,51.2%,73.0%,90.1%,97.5%,2.5%
139,Science,"Combined Science (Biology, Chemistry)",Male,Number,96,82,,0,0,1,9,30,54,69,13
140,Science,"Combined Science (Biology, Chemistry)",Male,Percentage,,,87.8,0.0%,0.0%,1.2%,11.0%,36.6%,65.9%,84.1%,15.9%
141,Science,"Combined Science (Biology, Chemistry)",Female,Number,68,64,,0,1,4,8,19,35,51,13
142,Science,"Combined Science (Biology, Chemistry)",Female,Percentage,,,84.4,0.0%,1.6%,6.3%,12.5%,29.7%,54.7%,79.7%,20.3%
143,Science,"Combined Science (Biology, Chemistry)",Total,Number,164,146,,0,1,5,17,49,89,120,26
144,Science,"Combined Science (Biology, Chemistry)",Total,Percentage,,,86.3,0.0%,0.7%,3.4%,11.6%,33.6%,61.0%,82.2%,17.8%
145,Science,"Combined Science (Biology, Physics)",Male,Number,11,10,,0,0,0,2,7,10,10,0
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,20.0%,70.0%,100.0%,100.0%,0.0%
147,Science,"Combined Science (Biology, Physics)",Female,Number,4,4,,0,0,0,0,0,0,3,1
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,25.0%
149,Science,"Combined Science (Biology, Physics)",Total,Number,15,14,,0,0,0,2,7,10,13,1
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,100.0,0.0%,0.0%,0.0%,14.3%,50.0%,71.4%,92.9%,7.1%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,41,38,,0,0,3,9,16,27,33,5
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,73.7,0.0%,0.0%,7.9%,23.7%,42.1%,71.1%,86.8%,13.2%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,37,33,,0,0,0,4,18,25,30,3
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,66.7,0.0%,0.0%,0.0%,12.1%,54.5%,75.8%,90.9%,9.1%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,78,71,,0,0,3,13,34,52,63,8
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,70.4,0.0%,0.0%,4.2%,18.3%,47.9%,73.2%,88.7%,11.3%
157,Science,Combined Science (Biology),Male,Number,107,91,,1,2,4,21,49,74,84,7
158,Science,Combined Science (Biology),Male,Percentage,,,89.0,1.1%,2.2%,4.4%,23.1%,53.8%,81.3%,92.3%,7.7%
159,Science,Combined Science (Biology),Female,Number,72,67,,2,3,5,12,27,46,59,8
160,Science,Combined Science (Biology),Female,Percentage,,,85.1,3.0%,4.5%,7.5%,17.9%,40.3%,68.7%,88.1%,11.9%
