行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
81,商業、管理及法律,商業數據應用,女生,人數,15,13,4,9,13,0
82,商業、管理及法律,商業數據應用,女生,百分比,,,30.8%,69.2%,100.0%,0.0%
83,商業、管理及法律,商業數據應用,總數,人數,26,22,4,12,21,1
84,商業、管理及法律,商業數據應用,總數,百分比,,,18.2%,54.5%,95.5%,4.5%
85,商業、管理及法律,香港執法實務,男生,人數,13,13,1,4,13,0
86,商業、管理及法律,香港執法實務,男生,百分比,,,7.7%,30.8%,100.0%,0.0%
87,商業、管理及法律,香港執法實務,女生,人數,8,7,2,3,7,0
88,商業、管理及法律,香港執法實務,女生,百分比,,,28.6%,42.9%,100.0%,0.0%
89,商業、管理及法律,香港執法實務,總數,人數,21,20,3,7,20,0
90,商業、管理及法律,香港執法實務,總數,百分比,,,15.0%,35.0%,100.0%,0.0%
91,商業、管理及法律,市場營銷及網上推廣,男生,人數,35,31,2,8,24,7
92,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,6.5%,25.8%,77.4%,22.6%
93,商業、管理及法律,市場營銷及網上推廣,女生,人數,33,33,7,19,33,0
94,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,21.2%,57.6%,100.0%,0.0%
95,商業、管理及法律,市場營銷及網上推廣,總數,人數,68,64,9,27,57,7
96,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,14.1%,42.2%,89.1%,10.9%
97,創意學習,電腦遊戲及動畫設計,男生,人數,115,96,5,25,94,2
98,創意學習,電腦遊戲及動畫設計,男生,百分比,,,5.2%,26.0%,97.9%,2.1%
99,創意學習,電腦遊戲及動畫設計,女生,人數,39,37,9,16,36,1
100,創意學習,電腦遊戲及動畫設計,女生,百分比,,,24.3%,43.2%,97.3%,2.7%
101,創意學習,電腦遊戲及動畫設計,總數,人數,154,133,14,41,130,3
102,創意學習,電腦遊戲及動畫設計,總數,百分比,,,10.5%,30.8%,97.7%,2.3%
103,創意學習,數碼漫畫設計與製作,男生,人數,51,40,0,4,37,3
104,創意學習,數碼漫畫設計與製作,男生,百分比,,,0.0%,10.0%,92.5%,7.5%
105,創意學習,數碼漫畫設計與製作,女生,人數,100,98,15,44,94,4
106,創意學習,數碼漫畫設計與製作,女生,百分比,,,15.3%,44.9%,95.9%,4.1%
107,創意學習,數碼漫畫設計與製作,總數,人數,151,138,15,48,131,7
108,創意學習,數碼漫畫設計與製作,總數,百分比,,,10.9%,34.8%,94.9%,5.1%
109,創意學習,展示及首飾設計,男生,人數,4,4,1,3,4,0
110,創意學習,展示及首飾設計,男生,百分比,,,25.0%,75.0%,100.0%,0.0%
111,創意學習,展示及首飾設計,女生,人數,14,14,2,6,14,0
112,創意學習,展示及首飾設計,女生,百分比,,,14.3%,42.9%,100.0%,0.0%
113,創意學習,展示及首飾設計,總數,人數,18,18,3,9,18,0
114,創意學習,展示及首飾設計,總數,百分比,,,16.7%,50.0%,100.0%,0.0%
115,創意學習,時裝形象設計,男生,人數,31,29,2,5,29,0
116,創意學習,時裝形象設計,男生,百分比,,,6.9%,17.2%,100.0%,0.0%
117,創意學習,時裝形象設計,女生,人數,103,102,12,33,100,2
118,創意學習,時裝形象設計,女生,百分比,,,11.8%,32.4%,98.0%,2.0%
119,創意學習,時裝形象設計,總數,人數,134,131,14,38,129,2
120,創意學習,時裝形象設計,總數,百分比,,,10.7%,29.0%,98.5%,1.5%
121,創意學習,室內設計,男生,人數,33,24,2,6,20,4
122,創意學習,室內設計,男生,百分比,,,8.3%,25.0%,83.3%,16.7%
123,創意學習,室內設計,女生,人數,53,50,8,19,47,3
124,創意學習,室內設計,女生,百分比,,,16.0%,38.0%,94.0%,6.0%
125,創意學習,室內設計,總數,人數,86,74,10,25,67,7
126,創意學習,室內設計,總數,百分比,,,13.5%,33.8%,90.5%,9.5%
127,創意學習,流行音樂製作,男生,人數,34,29,3,7,25,4
128,創意學習,流行音樂製作,男生,百分比,,,10.3%,24.1%,86.2%,13.8%
129,創意學習,流行音樂製作,女生,人數,42,34,7,18,30,4
130,創意學習,流行音樂製作,女生,百分比,,,20.6%,52.9%,88.2%,11.8%
131,創意學習,流行音樂製作,總數,人數,76,63,10,25,55,8
132,創意學習,流行音樂製作,總數,百分比,,,15.9%,39.7%,87.3%,12.7%
133,創意學習,舞出新機－舞蹈藝術,男生,人數,7,6,1,2,6,0
134,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,16.7%,33.3%,100.0%,0.0%
135,創意學習,舞出新機－舞蹈藝術,女生,人數,58,52,6,16,51,1
136,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,11.5%,30.8%,98.1%,1.9%
137,創意學習,舞出新機－舞蹈藝術,總數,人數,65,58,7,18,57,1
138,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,12.1%,31.0%,98.3%,1.7%
139,創意學習,由戲開始．劇藝縱橫,男生,人數,12,11,0,5,11,0
140,創意學習,由戲開始．劇藝縱橫,男生,百分比,,,0.0%,45.5%,100.0%,0.0%
141,創意學習,由戲開始．劇藝縱橫,女生,人數,49,46,11,23,43,3
142,創意學習,由戲開始．劇藝縱橫,女生,百分比,,,23.9%,50.0%,93.5%,6.5%
143,創意學習,由戲開始．劇藝縱橫,總數,人數,61,57,11,28,54,3
144,創意學習,由戲開始．劇藝縱橫,總數,百分比,,,19.3%,49.1%,94.7%,5.3%
145,工程及生產,航空學,男生,人數,144,132,5,19,124,8
146,工程及生產,航空學,男生,百分比,,,3.8%,14.4%,93.9%,6.1%
147,工程及生產,航空學,女生,人數,65,64,5,14,62,2
148,工程及生產,航空學,女生,百分比,,,7.8%,21.9%,96.9%,3.1%
149,工程及生產,航空學,總數,人數,209,196,10,33,186,10
150,工程及生產,航空學,總數,百分比,,,5.1%,16.8%,94.9%,5.1%
151,工程及生產,電腦鑑證科技,男生,人數,15,14,3,10,13,1
152,工程及生產,電腦鑑證科技,男生,百分比,,,21.4%,71.4%,92.9%,7.1%
153,工程及生產,電腦鑑證科技,女生,人數,3,3,3,3,3,0
154,工程及生產,電腦鑑證科技,女生,百分比,,,100.0%,100.0%,100.0%,0.0%
155,工程及生產,電腦鑑證科技,總數,人數,18,17,6,13,16,1
156,工程及生產,電腦鑑證科技,總數,百分比,,,35.3%,76.5%,94.1%,5.9%
157,工程及生產,建構智慧城市,男生,人數,21,17,2,5,12,5
158,工程及生產,建構智慧城市,男生,百分比,,,11.8%,29.4%,70.6%,29.4%
159,工程及生產,建構智慧城市,女生,人數,1,1,0,1,1,0
160,工程及生產,建構智慧城市,女生,百分比,,,0.0%,100.0%,100.0%,0.0%
161,工程及生產,建構智慧城市,總數,人數,22,18,2,6,13,5
162,工程及生產,建構智慧城市,總數,百分比,,,11.1%,33.3%,72.2%,27.8%
163,工程及生產,電機及能源工程,男生,人數,67,62,4,13,62,0
