No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
74,"Business, Management and Law",Accounting for e-Business,Male,Percentage,,,9.4%,37.5%,90.6%,9.4%
75,"Business, Management and Law",Accounting for e-Business,Female,Number,17,17,5,11,17,0
76,"Business, Management and Law",Accounting for e-Business,Female,Percentage,,,29.4%,64.7%,100.0%,0.0%
77,"Business, Management and Law",Accounting for e-Business,Total,Number,49,49,8,23,46,3
78,"Business, Management and Law",Accounting for e-Business,Total,Percentage,,,16.3%,46.9%,93.9%,6.1%
79,"Business, Management and Law",Data Application for Business,Male,Number,11,9,0,3,8,1
80,"Business, Management and Law",Data Application for Business,Male,Percentage,,,0.0%,33.3%,88.9%,11.1%
81,"Business, Management and Law",Data Application for Business,Female,Number,15,13,4,9,13,0
82,"Business, Management and Law",Data Application for Business,Female,Percentage,,,30.8%,69.2%,100.0%,0.0%
83,"Business, Management and Law",Data Application for Business,Total,Number,26,22,4,12,21,1
84,"Business, Management and Law",Data Application for Business,Total,Percentage,,,18.2%,54.5%,95.5%,4.5%
85,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,13,13,1,4,13,0
86,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,7.7%,30.8%,100.0%,0.0%
87,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,8,7,2,3,7,0
88,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,28.6%,42.9%,100.0%,0.0%
89,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,21,20,3,7,20,0
90,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,15.0%,35.0%,100.0%,0.0%
91,"Business, Management and Law",Marketing and Online Promotion,Male,Number,35,31,2,8,24,7
92,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,6.5%,25.8%,77.4%,22.6%
93,"Business, Management and Law",Marketing and Online Promotion,Female,Number,33,33,7,19,33,0
94,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,21.2%,57.6%,100.0%,0.0%
95,"Business, Management and Law",Marketing and Online Promotion,Total,Number,68,64,9,27,57,7
96,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,14.1%,42.2%,89.1%,10.9%
97,Creative Studies,Computer Game and Animation Design,Male,Number,115,96,5,25,94,2
98,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,5.2%,26.0%,97.9%,2.1%
99,Creative Studies,Computer Game and Animation Design,Female,Number,39,37,9,16,36,1
100,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,24.3%,43.2%,97.3%,2.7%
101,Creative Studies,Computer Game and Animation Design,Total,Number,154,133,14,41,130,3
102,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,10.5%,30.8%,97.7%,2.3%
103,Creative Studies,Digital Comic Design and Production,Male,Number,51,40,0,4,37,3
104,Creative Studies,Digital Comic Design and Production,Male,Percentage,,,0.0%,10.0%,92.5%,7.5%
105,Creative Studies,Digital Comic Design and Production,Female,Number,100,98,15,44,94,4
106,Creative Studies,Digital Comic Design and Production,Female,Percentage,,,15.3%,44.9%,95.9%,4.1%
107,Creative Studies,Digital Comic Design and Production,Total,Number,151,138,15,48,131,7
108,Creative Studies,Digital Comic Design and Production,Total,Percentage,,,10.9%,34.8%,94.9%,5.1%
109,Creative Studies,Display and Jewellery Design,Male,Number,4,4,1,3,4,0
110,Creative Studies,Display and Jewellery Design,Male,Percentage,,,25.0%,75.0%,100.0%,0.0%
111,Creative Studies,Display and Jewellery Design,Female,Number,14,14,2,6,14,0
112,Creative Studies,Display and Jewellery Design,Female,Percentage,,,14.3%,42.9%,100.0%,0.0%
113,Creative Studies,Display and Jewellery Design,Total,Number,18,18,3,9,18,0
114,Creative Studies,Display and Jewellery Design,Total,Percentage,,,16.7%,50.0%,100.0%,0.0%
115,Creative Studies,Fashion Image Design,Male,Number,31,29,2,5,29,0
116,Creative Studies,Fashion Image Design,Male,Percentage,,,6.9%,17.2%,100.0%,0.0%
117,Creative Studies,Fashion Image Design,Female,Number,103,102,12,33,100,2
