行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
52,經濟,,女生,百分比,,,36.2,1.8%,6.3%,16.7%,45.6%,66.2%,85.5%,94.6%,5.4%
53,經濟,,總數,人數,12298,11559,,240,860,2147,5308,7666,9849,10927,632
54,經濟,,總數,百分比,,,40.8,2.1%,7.4%,18.6%,45.9%,66.3%,85.2%,94.5%,5.5%
55,英國語文,,男生,人數,24158,23347,,152,728,2011,5703,11426,17520,20729,2618
56,英國語文,,男生,百分比,,,-,0.7%,3.1%,8.6%,24.4%,48.9%,75.0%,88.8%,11.2%
57,英國語文,,女生,人數,23051,22512,,294,1034,2464,6419,12242,18288,21096,1416
58,英國語文,,女生,百分比,,,-,1.3%,4.6%,10.9%,28.5%,54.4%,81.2%,93.7%,6.3%
59,英國語文,,總數,人數,47209,45859,,446,1762,4475,12122,23668,35808,41825,4034
60,英國語文,,總數,百分比,,,-,1.0%,3.8%,9.8%,26.4%,51.6%,78.1%,91.2%,8.8%
61,倫理與宗教,,男生,人數,336,275,,2,6,14,53,160,238,264,11
62,倫理與宗教,,男生,百分比,,,95.6,0.7%,2.2%,5.1%,19.3%,58.2%,86.5%,96.0%,4.0%
63,倫理與宗教,,女生,人數,409,368,,5,18,46,136,264,343,363,5
64,倫理與宗教,,女生,百分比,,,95.9,1.4%,4.9%,12.5%,37.0%,71.7%,93.2%,98.6%,1.4%
65,倫理與宗教,,總數,人數,745,643,,7,24,60,189,424,581,627,16
66,倫理與宗教,,總數,百分比,,,95.8,1.1%,3.7%,9.3%,29.4%,65.9%,90.4%,97.5%,2.5%
67,地理,,男生,人數,3480,3228,,49,180,415,1172,1985,2795,3130,98
68,地理,,男生,百分比,,,62.3,1.5%,5.6%,12.9%,36.3%,61.5%,86.6%,97.0%,3.0%
69,地理,,女生,人數,4123,3960,,46,199,503,1539,2545,3533,3894,66
70,地理,,女生,百分比,,,51.2,1.2%,5.0%,12.7%,38.9%,64.3%,89.2%,98.3%,1.7%
71,地理,,總數,人數,7603,7188,,95,379,918,2711,4530,6328,7024,164
72,地理,,總數,百分比,,,56.2,1.3%,5.3%,12.8%,37.7%,63.0%,88.0%,97.7%,2.3%
73,健康管理與社會關懷,,男生,人數,332,281,,0,3,4,30,90,196,249,32
74,健康管理與社會關懷,,男生,百分比,,,97.2,0.0%,1.1%,1.4%,10.7%,32.0%,69.8%,88.6%,11.4%
75,健康管理與社會關懷,,女生,人數,566,527,,4,11,28,110,243,446,496,31
76,健康管理與社會關懷,,女生,百分比,,,91.8,0.8%,2.1%,5.3%,20.9%,46.1%,84.6%,94.1%,5.9%
77,健康管理與社會關懷,,總數,人數,898,808,,4,14,32,140,333,642,745,63
78,健康管理與社會關懷,,總數,百分比,,,93.7,0.5%,1.7%,4.0%,17.3%,41.2%,79.5%,92.2%,7.8%
79,歷史,,男生,人數,2195,2031,,24,108,285,925,1475,1889,2000,31
80,歷史,,男生,百分比,,,68.0,1.2%,5.3%,14.0%,45.5%,72.6%,93.0%,98.5%,1.5%
81,歷史,,女生,人數,2435,2319,,43,154,359,1105,1769,2193,2295,24
82,歷史,,女生,百分比,,,53.4,1.9%,6.6%,15.5%,47.6%,76.3%,94.6%,99.0%,1.0%
83,歷史,,總數,人數,4630,4350,,67,262,644,2030,3244,4082,4295,55
84,歷史,,總數,百分比,,,60.2,1.5%,6.0%,14.8%,46.7%,74.6%,93.8%,98.7%,1.3%
85,資訊及通訊科技,,男生,人數,4224,3963,,60,213,526,1351,2236,3263,3722,241
86,資訊及通訊科技,,男生,百分比,,,59.7,1.5%,5.4%,13.3%,34.1%,56.4%,82.3%,93.9%,6.1%
87,資訊及通訊科技,,女生,人數,1310,1238,,8,48,116,354,651,982,1145,93
