行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,25,20,2,13,7
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,10.0%,65.0%,35.0%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,29,28,11,27,1
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,39.3%,96.4%,3.6%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,54,48,13,40,8
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,27.1%,83.3%,16.7%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,10,10,3,10,0
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,30.0%,100.0%,0.0%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,6,6,2,6,0
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,33.3%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,16,16,5,16,0
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,31.3%,100.0%,0.0%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,25,23,6,18,5
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,26.1%,78.3%,21.7%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,28,27,6,23,4
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,22.2%,85.2%,14.8%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,53,50,12,41,9
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,24.0%,82.0%,18.0%
19,應用學習中文 (非華語學生適用),,男生,人數,60,53,11,41,12
20,應用學習中文 (非華語學生適用),,男生,百分比,,,20.8%,77.4%,22.6%
21,應用學習中文 (非華語學生適用),,女生,人數,63,61,19,56,5
22,應用學習中文 (非華語學生適用),,女生,百分比,,,31.1%,91.8%,8.2%
23,應用學習中文 (非華語學生適用),,總數,人數,123,114,30,97,17
24,應用學習中文 (非華語學生適用),,總數,百分比,,,26.3%,85.1%,14.9%
