行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5135,4947,,121,449,1105,2442,3591,4524,4757,190
2,生物,,男生,百分比,,,40.4,2.4%,9.1%,22.3%,49.4%,72.6%,91.4%,96.2%,3.8%
3,生物,,女生,人數,6806,6612,,109,467,1171,2974,4656,6066,6417,195
4,生物,,女生,百分比,,,36.6,1.6%,7.1%,17.7%,45.0%,70.4%,91.7%,97.1%,2.9%
5,生物,,總數,人數,11941,11559,,230,916,2276,5416,8247,10590,11174,385
6,生物,,總數,百分比,,,38.2,2.0%,7.9%,19.7%,46.9%,71.3%,91.6%,96.7%,3.3%
7,企業、會計與財務概論,會計,男生,人數,2888,2713,,43,179,452,1213,1882,2463,2643,70
8,企業、會計與財務概論,會計,男生,百分比,,,40.2,1.6%,6.6%,16.7%,44.7%,69.4%,90.8%,97.4%,2.6%
9,企業、會計與財務概論,會計,女生,人數,3461,3339,,52,186,481,1425,2360,3067,3281,58
10,企業、會計與財務概論,會計,女生,百分比,,,29.8,1.6%,5.6%,14.4%,42.7%,70.7%,91.9%,98.3%,1.7%
11,企業、會計與財務概論,會計,總數,人數,6349,6052,,95,365,933,2638,4242,5530,5924,128
12,企業、會計與財務概論,會計,總數,百分比,,,34.5,1.6%,6.0%,15.4%,43.6%,70.1%,91.4%,97.9%,2.1%
13,企業、會計與財務概論,商業管理,男生,人數,1212,1129,,9,35,78,322,632,979,1089,40
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.3,0.8%,3.1%,6.9%,28.5%,56.0%,86.7%,96.5%,3.5%
15,企業、會計與財務概論,商業管理,女生,人數,1319,1267,,9,44,120,432,810,1152,1239,28
16,企業、會計與財務概論,商業管理,女生,百分比,,,71.2,0.7%,3.5%,9.5%,34.1%,63.9%,90.9%,97.8%,2.2%
17,企業、會計與財務概論,商業管理,總數,人數,2531,2396,,18,79,198,754,1442,2131,2328,68
18,企業、會計與財務概論,商業管理,總數,百分比,,,72.7,0.8%,3.3%,8.3%,31.5%,60.2%,88.9%,97.2%,2.8%
19,化學,,男生,人數,6086,5767,,188,699,1645,3116,4498,5103,5529,238
20,化學,,男生,百分比,,,25.8,3.3%,12.1%,28.5%,54.0%,78.0%,88.5%,95.9%,4.1%
21,化學,,女生,人數,4960,4748,,120,464,1138,2298,3531,4157,4555,193
22,化學,,女生,百分比,,,22.0,2.5%,9.8%,24.0%,48.4%,74.4%,87.6%,95.9%,4.1%
